Restaurant Name,Aggregate rating,Rating Range,Count,,Votes,Average
Tonico Cafe,4,,,,406,
Cafe 17,4.4,,,,333,
ChaiCofi,4,,,,160,
Bloomsbury's Boutique Cafe and Artisan Bakery,4.2,,,,482,
Paragon,4.3,,,,722,
Aangan - Downtown Multicuisine Restaurant,4.2,,,,146,
Ali Baba & 41 Dishes,3.5,,,,348,
Cocoa Tree,4.3,,,,658,
French Toast,4.3,,,,312,
Thakkaaram,3.6,,,,361,
Asia Kitchen by Mainland China,4.6,,,,945,
Hoppipola,4.2,,,,1103,
Spice Kraft,4.8,,,,1424,
Nawwarah,3.9,,,,326,
6 Ballygunge Place,4.4,,,,1778,
Mumbai Local,4.2,,,,704,
Gabbar's Bar & Kitchen,4.4,,,,1484,
TGI Friday's,4,,,,911,
Santa's Fantasea,4.2,,,,2584,
India Restaurant,4.6,,,,1219,
Flame & Grill,3.9,,,,1064,
Barbeque Nation,4.9,,,,1753,
Mocambo,3.5,,,,4464,
BarBQ,4.2,,,,5288,
Peter Cat,4.3,,,,7574,
The Irish House,4.4,,,,2224,
Barbeque Nation,4.9,,,,5966,
Ocean Grill,3.6,,,,1040,
Sigree Global Grill,4.1,,,,1616,
What's Up,4,,,,1126,
Grandson of Tunday Kababi,4.9,,,,1057,
Frozen Factory,4.5,,,,144,
Mocha,4.6,,,,567,
Chemistry Caf??,3.5,,,,147,
Homeys Cafe,3.9,,,,217,
Percussion,3.7,,,,514,
The Urban Terrace,3.9,,,,268,
Free Spirit,4.3,,,,106,
Spice Caves,4.2,,,,691,
The Chocolate Heaven,4.1,,,,165,
The Pebbles Bistro,4.1,,,,80,
Underdoggs Sports Bar & Grill,4.3,,,,124,
Vintage Machine,4.3,,,,887,
Bar Bar,4,,,,79,
Dastarkhwan,4.4,,,,818,
The Cherry Tree Cafe,4.1,,,,288,
Royal Sky,4.2,,,,762,
L 14 - Renaissance Lucknow Hotel,4.2,,,,149,
Barbeque Nation,4.7,,,,1069,
Colours by Royal Cafe - Royal Inn,4.2,,,,411,
Cappuccino Blast,4,,,,587,
Basant Restaurant,3.6,,,,93,
Hawai Adda,3.5,,,,17,
Indian Summer,4.1,,,,191,
Basant,3.9,,,,109,
Bistro 226,4.2,,,,217,
Mocha,3.7,,,,153,
Pirates Of Grill,3.9,,,,41,
Bistro Flamme Bois,4.1,,,,178,
Kitchen At 95 - Hyatt Regency,4.3,,,,87,
Domino's Pizza,3.6,,,,86,
Nando's,3.8,,,,156,
Belfrance Luxury Chocolates,4.4,,,,138,
Hot Breads,4.2,,,,261,
The Yellow Chilli,4.4,,,,325,
Spice Cube,3.5,,,,116,
Barbeque Nation,3.9,,,,80,
Nik Bakers,4.2,,,,210,
Aman Chicken,4.6,,,,196,
District 6,3.8,,,,53,
The BrewMaster - The Mix Fine Dine,3.9,,,,154,
#45,3.6,,,,209,
Crave Desserts & Bakes,3.9,,,,196,
Diesel Cafe,3.8,,,,196,
Froth On Top,3.7,,,,355,
Hao Ming,3.5,,,,280,
Kobe Sizzlers,3.7,,,,104,
Liquid Lounge,3.8,,,,290,
Maharaja Restaurant,3.6,,,,275,
Giri Manja's,4.2,,,,281,
Kabab Studio,3.5,,,,183,
Brio Cafe and Grill,3.6,,,,84,
Gajalee Sea Food,3.9,,,,257,
Smoke N Oven,3.5,,,,127,
Village Restaurant,3.7,,,,260,
Barbeque Nation,3.7,,,,193,
Machali,4.1,,,,245,
Punjab Da Pind,3.7,,,,173,
Sizzler's Ranch,3.8,,,,328,
Spindrift,3.9,,,,156,
Sagar Ratna,3.7,,,,175,
The Shooters Cafe,4.3,,,,99,
Joey's Pizza,4,,,,5145,
Cafe Hydro,4,,,,156,
The American Joint,3.4,,,,170,
The Fusion Kitchen,4.7,,,,2083,
145 Kala Ghoda,4.2,,,,1606,
Tea Villa Cafe,4.1,,,,2040,
Grandmama's Cafe,3.8,,,,617,
Mumbai Vibe,3.8,,,,146,
The Rolling Pin,3.9,,,,2076,
Farzi Cafe,4.3,,,,1240,
SpiceKlub,4.2,,,,3370,
Tea Villa Cafe,3.9,,,,317,
Joey's Pizza,4.5,,,,2662,
Stacks And Racks,4.6,,,,413,
The English Department Bar & Diner,3.9,,,,885,
Mirchi And Mime,4.9,,,,3244,
38 Degree East,3.8,,,,181,
R' ADDA,4,,,,536,
Tea Villa Cafe,4.1,,,,1295,
Tea Villa Cafe,3.6,,,,1515,
Hotel RRR Mysore,3.4,,,,139,
Jalpaan Dining Saga,3.7,,,,172,
The Old House,3.9,,,,264,
Vinayaka Mylari,4.2,,,,392,
Empire Restaurant,3.7,,,,393,
Green Leaf,3.5,,,,214,
Pakva Lounge,3.7,,,,262,
Spring - Radisson Blu Plaza,3.8,,,,162,
Big Chicken,3.5,,,,160,
Barbeque Nation,4,,,,286,
Pizza Hut,4,,,,304,
Tandooriwala,3.5,,,,127,
Jungle The Restaurant,3.7,,,,132,
The Barge Restaurant,3.3,,,,11,
By The Way,3.6,,,,190,
Cafe Cornucopia,3.6,,,,140,
Mezzaluna,3.8,,,,249,
Nanking,3.7,,,,208,
Oyster Bay,3.6,,,,270,
Purple Haze,3.7,,,,183,
House of Caffeine,3.3,,,,27,
Hide Out The Street Cafe,3.8,,,,73,
Tapri The Chai Books Cafe,3.9,,,,26,
Eat Street Express,4,,,,103,
Zaikart,4.3,,,,88,
Cafe Zinea,3.7,,,,201,
Checker's,4,,,,185,
The B.A.W.A,4.2,,,,164,
FSB,4.3,,,,270,
NESCAF? Illusions,3.9,,,,140,
Nineties,3.9,,,,19,
Mocha,4,,,,284,
The Zuree Urban Kitchen,4.4,,,,257,
The Breakfast Story,4.5,,,,520,
Ten Downing Street Restaurant & Bar,4,,,,306,
Ashoka Restaurant,4.2,,,,275,
Barbeque Nation,4.9,,,,226,
KFC,2.2,,,,147,
Moksh The Restro Lounge,4,,,,100,
Mainland China,3.8,,,,45,
Divtya Budhlya Wada Restaurant,3.8,,,,76,
Spice Route,3.6,,,,91,
Veg Aroma,3.6,,,,125,
Eastern Spice,3.5,,,,140,
The Bake Studio,3.6,,,,86,
Barbeque Nation,3.8,,,,117,
Chai Tapri,3.4,,,,86,
Curry Leaves,3.4,,,,162,
Enter The Dragon,3.4,,,,177,
The Cafe Katta,3.3,,,,15,
White X Sky Lounge,3.4,,,,24,
12212,3.5,,,,80,
Al Arabian Express,3.7,,,,162,
RiverDine Restaurant & Bar,3.5,,,,166,
Barbeque Ville,3.8,,,,164,
Little Italy,3,,,,25,
Soma at Sula,3.3,,,,33,
Hotel Radhakrishna,3.5,,,,77,
Sadhana Restaurant,3.9,,,,218,
House Of Flavours,3.4,,,,71,
Food Cloud,0,,,,2,
Burger.in,3.2,,,,46,
Days of the Raj,3.4,,,,45,
Dilli Ka Dhaba,2.6,,,,11,
Govardhan,3.4,,,,238,
Mezbaan Grills,3.1,,,,8,
Say Cheese,2.7,,,,64,
Southy,2.6,,,,113,
Monosoz,3.7,,,,66,
Waves,3.5,,,,141,
Delhi Darbar,2.2,,,,77,
Chateau,4,,,,40,
Nariyal Cafe,4.2,,,,46,
Rustom's Parsi Bhonu,4.2,,,,665,
BarShala,3.2,,,,31,
Chawla's?_,3.4,,,,32,
Domino's Pizza,2.8,,,,83,
Sultanat,3.7,,,,288,
Bella Italia,3.2,,,,33,
Clever Fox Cafe,3.2,,,,26,
365 Naturals,0,,,,2,
Tpot,0,,,,0,
4 on 44 Restaurant & Bar,2.6,,,,49,
Rambhog,3.3,,,,13,
Selfie Lounge Restro & Bar,3.2,,,,64,
BTW,3.4,,,,167,
Chilli Pepper,3.3,,,,99,
Pizza Hut,2.6,,,,125,
Puri Bakers,3.7,,,,124,
Jaiveer Naan & Chaap,2.2,,,,79,
Aggarwal's Sweets Paradise,2.9,,,,8,
Bikaner Sweets,3.3,,,,20,
Cafe Coffee Day,3.2,,,,23,
Cakeophony By Sonali,3.4,,,,19,
Chandra Sweets,3,,,,7,
Chhotu Mashhoor Kathi Roll,2.7,,,,11,
Green Chick Chop,3.2,,,,35,
Lazeez Restaurant,3,,,,11,
Madhuvan Chinese Fast Food,2.5,,,,32,
Mr Wong,3.2,,,,10,
Mughlai Shahi Rasoi,3.2,,,,23,
Mumbai Central Street Food,3.1,,,,7,
Neha's Treat,2.9,,,,42,
New Bakers Shoppee,3.2,,,,21,
Pant  Ice Cream Parlour,3.3,,,,16,
PM 2 AM Food Bank,2.5,,,,37,
Punjabi Chaap Corner,2.9,,,,4,
Sartaj Food Corner,2.8,,,,7,
The Sugar Therapy,3.4,,,,22,
Biryani Binge,3.9,,,,97,
City of Joy,3.9,,,,452,
Letz Roll,3.6,,,,14,
Nukkad,3.6,,,,82,
#InstaFreeze,0,,,,2,
Aahar Meat and Chicken Shop,0,,,,0,
Food Cafe,0,,,,0,
Lazeez Restaurant,0,,,,1,
Lemon Chick,0,,,,2,
Punjabi Chaap Corner,0,,,,0,
Purani Dilli Foods,0,,,,1,
Tandoori Kebab,0,,,,0,
Shree Rathnam,2.4,,,,31,
Alaturka,2.5,,,,100,
Amici Gourmet Pizza,3.1,,,,230,
Burger King,3.2,,,,458,
Kylin Express,2.6,,,,176,
Big Fat Sandwich,3.5,,,,232,
Fashion Tv Cafe,3.6,,,,27,
Kylin Skybar,3.6,,,,210,
Lemon Drops,3.9,,,,44,
Punjabi By Nature Express,3.5,,,,206,
Red Mango,3.7,,,,185,
Starbucks,3.7,,,,256,
Peninsular Kitchen,4.2,,,,336,
Mithapur,3.4,,,,280,
Diggin,4.2,,,,2131,
Aggarwal Sweet India,2.8,,,,13,
Banzara's,3.1,,,,38,
Bobby Tikki Wala,2.8,,,,69,
Chennai Junction,3.3,,,,11,
Chicken Bite,3.1,,,,6,
Chocolate Dreams,3,,,,4,
Dial n Dine,3.4,,,,80,
Fresh n Refresh,3.4,,,,24,
Garden Hut,3.1,,,,13,
Giani,3.3,,,,12,
Jugnu Gaming Zone and Cafe,2.9,,,,4,
Keventer's South Indian & Chinese Food,2.8,,,,9,
KTS,3.3,,,,18,
Mandarin,2.8,,,,14,
Penguin Bakers & Shakers,2.8,,,,9,
Rollmates,3.2,,,,16,
Tandoori Nights,3,,,,5,
Burger Dominion,3.6,,,,251,
Cafe Gainz,3.5,,,,42,
Chaskaa,3.5,,,,220,
Fabulous Cake Bites,3.6,,,,34,
Hangout - A House Of Kathis,3.7,,,,103,
Malais By Anands,3.7,,,,46,
Panchwati Rasoi,3.8,,,,62,
Sprinkles Cup & Cake,3.6,,,,42,
Target Ice Cream & Bakers,3.6,,,,58,
The Sweeet Jar,3.9,,,,106,
Amar Bakery,0,,,,0,
Cafe Brewbug,0,,,,1,
Chilll House Kafe,0,,,,1,
Cookie Shookie,0,,,,0,
Fabulous Cake,0,,,,0,
Jai Maa Shaarde Samose Wala,0,,,,0,
Madaan Confectionery,0,,,,0,
Magic Masala,0,,,,1,
Sikka Chinese Fast Food,0,,,,0,
Teedo's Cake Inn,0,,,,0,
Thalaiva Cafe,0,,,,2,
The Cake Affairs,0,,,,0,
Tulsi Ram Chinese Hut,0,,,,0,
V. K. Pasta,0,,,,0,
Xpert Bakers,0,,,,0,
Juniper Bar - Andaz Delhi,3,,,,4,
McDonald's,3.4,,,,48,
Pizza Hut Delivery,3.2,,,,51,
The Arena,3.4,,,,19,
Restaurant De Seoul,3.6,,,,59,
Taksim,3.9,,,,188,
Jom Jom Malay,4.4,,,,77,
Kofuku,4,,,,46,
The Sky High,4.1,,,,387,
Haldiram's,3.1,,,,117,
Jux Pux - The Dreamer's Cafe,3.1,,,,7,
Pizzaon,3,,,,10,
FFC Restaurant,0,,,,1,
"34, Chowringhee Lane",2.8,,,,7,
Aapni Dhani,2.8,,,,23,
Bengal Sweet Corner,2.8,,,,102,
Chicken Vicken,3.4,,,,19,
Cup-a-licious,3.2,,,,15,
Frontier,3,,,,10,
Metro Fast Food,2.7,,,,17,
Nagpal's,3.4,,,,135,
Nile Restro & Bar,2.7,,,,35,
Popular Chicken,3,,,,5,
Sardar A Pure Meat Shop,3.4,,,,22,
Shankar Fast Food,3.2,,,,74,
Singh's Zaika,3,,,,4,
The Mirch Masala,3,,,,7,
The Mirch Masala,3.2,,,,22,
Uncle Cake Shop,3.1,,,,9,
Kays Bar-Be-Que,3.5,,,,191,
Master Bakers,3.7,,,,199,
The Master's Fast Food Centre,3.5,,,,60,
6 Pack Momos,0,,,,1,
Al Noor Foods,0,,,,0,
Avon Kitchen,0,,,,0,
Bhasad Cafe,0,,,,1,
Bikaner Kesarvala,0,,,,2,
De Bone Chicken,0,,,,0,
Indian Fresh Meat Shop,0,,,,1,
JD's Food Court,0,,,,3,
Keventers,0,,,,3,
Malhotra Bakery,0,,,,1,
Matthi Wala,0,,,,0,
Nirula's Ice Cream,0,,,,0,
Punjabi Chaap Corner,0,,,,1,
Puran Dhaba,0,,,,0,
Rama Desi Ghee Meat Wala,0,,,,0,
VadaPav 'n' Frankie,0,,,,0,
Chhabra Sweets,2.4,,,,15,
Kanwarji's,2.9,,,,29,
Pizza Hut,3.4,,,,35,
Sagar Ratna,2.7,,,,278,
Smelling Salts,3.3,,,,53,
Wah Ji Wah,2.6,,,,142,
Wheelyz,2.5,,,,41,
Bell Pepperz,3.9,,,,492,
Bharat Sweets,3.5,,,,28,
Invitation,3.6,,,,457,
Mystique Melange,3.9,,,,173,
Pandit Ji Paranthe Wale,3.7,,,,131,
Raju Chat Palace,3.9,,,,123,
Seasonings - The Spice Mysteries,3.9,,,,274,
SGF - Spice Grill Flame,3.5,,,,87,
Apni Rasoi,3,,,,78,
Bablu Kabab Shop,3.1,,,,10,
Cake o' Cuisine,3.3,,,,26,
Domino's Pizza,3.2,,,,101,
Hunger Flames,3.4,,,,17,
Puran Chand Ambala Wale Di Hatti,3.3,,,,34,
The Cake Gallery,3.3,,,,12,
Bablu Chic Inn,3.6,,,,34,
Masala Basket,3.6,,,,46,
Udta Punjab,3.5,,,,31,
Munch Nation,4,,,,96,
Bengali Pastry Shop & Snack Bar,3.2,,,,70,
Bhimsain's Bengali Sweet House,3.4,,,,560,
Cafe Coffee Day,2.9,,,,4,
Colonel's Kababz,3.4,,,,38,
Faasos,2.8,,,,11,
Karachi Bakery,3,,,,4,
Nathu's Sweets,3.3,,,,421,
Sachdeva Confectioners,3.1,,,,68,
Bengali Sweet House,3.6,,,,85,
Bijoli Grill,3.7,,,,343,
Nathu's Pastry Shop,3.8,,,,120,
Balaji Dhaba,0,,,,3,
Bhagat Ji,0,,,,2,
Hangout Kathi Rolls,0,,,,2,
Makers & Bakers,0,,,,0,
Habibi Express,2.3,,,,55,
Cafe Coffee Day,3.2,,,,49,
China Town,2.9,,,,7,
Domino's Pizza,3.3,,,,90,
High Street Kitchen & Bar,2.9,,,,11,
Pizza Hut,3.1,,,,161,
Sugar & Spice - Le Marche,3,,,,67,
The Kathis,2.8,,,,23,
The Kylin Experience,3.3,,,,60,
Arabian Nites,3.5,,,,239,
Asia Kitchen,3.7,,,,137,
Dunkin' Donuts,3.7,,,,212,
Krips Restaurant,3.5,,,,193,
McDonald's,3.5,,,,202,
Yo! China,3.5,,,,332,
RPM,2.4,,,,92,
By The Way - Bellagio,2.9,,,,120,
Red - Bellagio,3.4,,,,137,
Soul Curry - Bellagio,3.6,,,,158,
Alpha 63,2.7,,,,9,
Bite-N-Sip,2.6,,,,38,
Lotus Garden,3.2,,,,59,
Meethas Sweets,2.8,,,,4,
Nirula's,2.5,,,,98,
Punjabi Tadka,2.8,,,,11,
Snack Bar,3,,,,11,
South Indian Food,3.1,,,,14,
Domino's Pizza,2.4,,,,71,
Southy,2.4,,,,33,
Coffee Shop - Centaur Hotel,0,,,,2,
Al Kuresh,3.3,,,,85,
Angan Bakery & Cafe,2.9,,,,10,
Bamboo Chopstix,2.7,,,,8,
Bawarchis,2.9,,,,16,
Bikanervala,3.4,,,,113,
Cafe Coffee Day,3,,,,4,
Chanakya Bar-Be-Que,3.2,,,,17,
Chattisgarh Bhawan,2.7,,,,33,
Chimney,2.9,,,,66,
China Town Sizzlers,3.4,,,,34,
Chinese Bite,2.8,,,,31,
Chinese Garden,3.2,,,,17,
Costa Coffee,3,,,,4,
Food Point,2.8,,,,5,
Ikko,2.9,,,,10,
Jammu And Kashmir House,2.9,,,,4,
Laguna,3.4,,,,60,
Momo Point,3.2,,,,14,
New Zaika,3.1,,,,10,
Organic Express,3,,,,7,
Tamil Nadu House Canteen,3.4,,,,161,
The Chocolate Avenue,3.4,,,,28,
Chimney Sizzlers,3.7,,,,137,
Gujarat Bhawan Restaurant,3.7,,,,203,
It??s Sinful,3.5,,,,20,
Jakoi,3.5,,,,218,
Arunachal Bhawan,0,,,,0,
Hotel New Tamil Nadu,0,,,,1,
Milan Food,0,,,,2,
Playboy Club,0,,,,3,
Moti Mahal Delux,2.4,,,,164,
The Treat,2.1,,,,138,
Break Fast Point,3.3,,,,21,
Breakfast Corner,3.1,,,,6,
Domino's Pizza,3,,,,10,
Frontier,3.2,,,,10,
Prince Cafe,2.9,,,,6,
Spicy Eleven,3.1,,,,15,
Vaishno Punjabi Dhaba,3,,,,12,
Adarsh Bhojnalaya,3.4,,,,29,
Al Haj Bakery,3,,,,9,
Anmol Chicken,3.1,,,,4,
Babu Ram Paranthe Wale,3.2,,,,225,
Bhaijaan Kababs,3.2,,,,8,
Bhikharam's,3,,,,5,
Bikanervala,2.8,,,,42,
Brijwasi Bhoj,3.1,,,,16,
Brijwasi Restaurant,3.2,,,,39,
Comesum,2.5,,,,49,
Inderpuri Restaurant,3,,,,20,
Kamdhenu Family Corner,2.8,,,,4,
Khalsa Hindu Hotel,2.9,,,,5,
Mahalaxmi Mishthan Bhandar,3.3,,,,16,
McDonald's,3,,,,57,
McDonald's,3,,,,42,
Natraj Cafe,3.4,,,,21,
Padam Chaat Corner,3,,,,4,
Pandit Ved Prakash Lemon Wale,3.2,,,,11,
Pt. Babu Ram Devi Dayal Paranthe Wale,3,,,,53,
Rabri Bhandar,3.2,,,,7,
Ram Parshad Makhan Lal,3.4,,,,23,
Rambhoj,2.9,,,,4,
Rehmatullah's Hotel,3,,,,5,
Sharma Bhojnalay,3,,,,9,
Shree Balaji Chaat Bhandar,3.2,,,,16,
Shri Duli Chand Naresh Gupta,3.4,,,,18,
Shri Hari Sharnam,3.1,,,,14,
Sindhi Chicken,2.9,,,,7,
Soni Bhojnalaya,3,,,,4,
Super Restaurant,2.9,,,,5,
Tiwari Ji Confectioner,3.1,,,,5,
Wah Ji Wah,2.8,,,,59,
Zaika Mughlai Foods,3.3,,,,10,
Al Yousuf,3.7,,,,30,
Amritsari Lassi Wala,3.8,,,,112,
Annapurna Bhandar,3.8,,,,59,
Bishan Swaroop Chaat Bhandar,3.7,,,,40,
Gole Hatti,3.8,,,,116,
Haldiram's,3.9,,,,444,
Kanwarji's,3.9,,,,163,
Kedarnath Prem Chand Halwai,3.7,,,,19,
Keventers,3.7,,,,63,
Khan Omelette Corner,3.6,,,,43,
Natraj Dahi Bhalle Wala,3.9,,,,1487,
Old Famous Jalebi Wala,3.9,,,,752,
Pt. Gaya Prasad Shiv Charan Paranthe Wale,3.6,,,,437,
Pt.Kanhaiyalal & Durga Prasad Dixit Paranthe Wale,3.6,,,,297,
Shiv Misthan Bhandar,3.8,,,,76,
Special Jalebi Wala,3.5,,,,21,
Tewari Bros Confectioners,3.5,,,,51,
Annapurna Chaat & Sweets,0,,,,1,
Delhi-6 The Chicken Planet,0,,,,0,
Dessi Food,0,,,,0,
Foody Dragon,0,,,,0,
Grover Eating Point,0,,,,1,
Hotel 121 Shakahari,0,,,,2,
Lala Chaap Corner,0,,,,0,
Meghraj & Sons,0,,,,3,
Old Kheer Shop,0,,,,3,
Punjabi Chicken,0,,,,0,
Ratan Singh,0,,,,0,
Shri Bhujia Bhandar,0,,,,2,
Chaina Ram Sindhi Confectioners,4.2,,,,382,
Giani's di Hatti,4.3,,,,521,
Jung Bahadur Kachori Wala,4.1,,,,405,
Lakhori - Haveli Dharampura,4.4,,,,305,
Milk n More,3.1,,,,6,
Kuremal Mohan Lal Kulfi Wale,4.5,,,,545,
Hira Chaat Corner,3.6,,,,18,
Kuremal Mahavir Prasad Kulfi Wale,3.9,,,,36,
Shakahari Restaurant,3.6,,,,185,
Shri Gujrat Namkeen Bhandar,3.6,,,,27,
Standard Sweets,3.6,,,,31,
Sudarshan,3.7,,,,54,
Ustad Moinuddin Kebab,3.7,,,,21,
Ashok Chaat Corner,4.1,,,,118,
Jain Coffee House,4.1,,,,169,
Shyam Sweets,4.1,,,,200,
Spicy Food Court,2.7,,,,23,
Aristocrat Sweet Shop,3.1,,,,7,
Balluchi's - The Royal Cuisine,3,,,,4,
Bunty Dhaba,3.2,,,,26,
Gopal's Restaurant & Caterer's,2.7,,,,22,
Horn Please,3,,,,70,
Khatey Raho,3.3,,,,26,
Kolkata Biryani House,3.4,,,,404,
Kolkata Hot Kathi Roll,3.2,,,,35,
Madly Bangalee,2.7,,,,135,
Oh! China,2.9,,,,16,
Punjabi Zaika,2.9,,,,39,
Rabi Snacks Corner,3.4,,,,18,
Republic of Chicken,2.7,,,,29,
Roll n Roast,3.3,,,,27,
Roller's High,3.2,,,,13,
Royal Chick 'N',3.3,,,,18,
Royal Kolkata Biryani,2.7,,,,14,
Sameer's Restaurant,2.5,,,,59,
Sanjha Chulha,2.7,,,,70,
Shepherd's,3.1,,,,9,
Soya King,2.6,,,,71,
Tasty Tonight,3.1,,,,5,
The Mustard,2.9,,,,7,
Tibb's Frankie,3.2,,,,16,
Wazwaan Restaurant,3.2,,,,14,
Yummi Kolkataa,3.2,,,,17,
Annapurna Sweet House,3.7,,,,55,
Ashirbad,3.6,,,,46,
Chocolatiers - The Chocolate Boutique,3.8,,,,112,
Dadu Cutlet Shop,3.7,,,,99,
Dogs & Wiches,3.9,,,,109,
Maa Tara,3.6,,,,458,
My Spice Kitchen,3.5,,,,443,
The Singing Tree,3.7,,,,33,
Baba Chicken Ludhiana Wale,0,,,,0,
Bengal Snacks,0,,,,2,
Brownies & More,0,,,,2,
Cafe Coffee Day,0,,,,1,
Craving Cure,0,,,,2,
Cuisine,0,,,,1,
Food Nation,0,,,,0,
Kamala Fast Food & Chinese,0,,,,2,
Lokenath Sweets,0,,,,2,
Me and My Cake,0,,,,0,
Chulha Punjabi Da,2.4,,,,41,
Viva Hyderabad,2.3,,,,38,
Metro Grill,3.4,,,,134,
Cafe Cruise,2.8,,,,153,
Etal The Lounge Bar,3.2,,,,455,
"Game of Legends - Sports Bar, Grill, & Lounge",3.5,,,,609,
Al-raaya,3.1,,,,6,
Authentique Bites,3.2,,,,17,
Embassy,3,,,,126,
Narang's Bake 'n' Cake,3,,,,4,
New Darvesh,3,,,,14,
1UP,3.5,,,,282,
Gujarati Samaj Santushti,3.6,,,,95,
Hind Bakery & Chinese Fast Food,0,,,,0,
Hot Pot,0,,,,0,
Punjabi Flavour,0,,,,0,
Saras Fast Food Feast,0,,,,0,
Shama Chicken Corner,0,,,,0,
The Night Owl,0,,,,1,
Wimpy Sweets And Confectioners,0,,,,1,
Boa Village,4,,,,225,
Anand Ji Restaurant,3.1,,,,28,
Baskin Robbins,3.3,,,,38,
Bhoj Restaurant,2.8,,,,54,
Brijwasi Restaurant,2.8,,,,32,
Cafe Coffee Day - The Lounge,3.2,,,,42,
Cafe Coffee Day,2.9,,,,10,
Chaat Tadka,2.8,,,,27,
Chawla's Unique Chicken Corner,3.2,,,,35,
Dawat Khana,2.5,,,,82,
Eat n Joy,3.2,,,,24,
Khan Chicken Biryani,2.9,,,,14,
Kolkata Roll,2.8,,,,16,
R. Ahmad Food,3,,,,11,
Sab Ke Khatir,3.1,,,,14,
Bon Bon Pastry Shop,3.5,,,,91,
Moksha,3.7,,,,110,
Pebble Street,3.9,,,,886,
Kebab Gallery,0,,,,3,
Amber,2.6,,,,152,
Attitude Kitchen & Bar,2.9,,,,140,
Cafe Coffee Day,3.4,,,,277,
Castle 9,3.1,,,,1099,
Costa Coffee,3.4,,,,76,
Delhi Darbar Dhaba,3.2,,,,89,
Garam Dharam,3.4,,,,1523,
Gola Sizzlers,3,,,,671,
Indian Coffee House,3.3,,,,1300,
My Bar Lounge & Restaurant,2.7,,,,2460,
My Bar Square,2.5,,,,1096,
Sagar Ratna,3.4,,,,499,
The Immigrant Cafe,3.2,,,,563,
MOB Brewpub,4.7,,,,52,
Naturals Ice Cream,4.9,,,,2620,
Zabardast Indian Kitchen,4.7,,,,242,
Anand Restaurant,3.6,,,,485,
Berco's,3.9,,,,2639,
Blues,3.7,,,,706,
Burger King,3.8,,,,2093,
Burger Singh,3.6,,,,548,
Cafe Coffee Day The Square,3.6,,,,361,
Cafe Dalal Street,3.7,,,,873,
Cafe Hawkers,3.7,,,,673,
Cafe Public Connection,3.7,,,,834,
Caf?? MRP,3.6,,,,877,
Caffe Tonino,3.9,,,,1503,
Cha Bar,3.9,,,,3206,
Chaayos,3.9,,,,487,
Chew - Pan Asian Cafe,3.9,,,,2003,
China Garden,3.9,,,,496,
Desi Vibes,3.9,,,,841,
Domino's Pizza,3.7,,,,336,
Dunkin' Donuts,3.8,,,,271,
Dunkin' Donuts,3.9,,,,1607,
Embassy,3.5,,,,706,
FLYP@MTV,3.9,,,,1379,
GoGourmet,3.7,,,,55,
Haldiram's,3.9,,,,1151,
Indian Grill Company,3.7,,,,626,
Jain Chawal Wale,3.8,,,,301,
Jungle Jamboree,3.8,,,,1174,
Kake Da Hotel,3.5,,,,2185,
Kebab Xpress,3.5,,,,321,
KFC,3.7,,,,427,
Khan Chacha,3.7,,,,1189,
Kinbuck 2,3.9,,,,1286,
La Americana,3.7,,,,41,
Lady Baga,3.7,,,,277,
Life Caffe,3.6,,,,391,
Lord of the Drinks,3.9,,,,2589,
McDonald's,3.8,,,,388,
McDonald's,3.7,,,,108,
Moets Arabica,3.5,,,,95,
Mother India,3.9,,,,66,
Mughlai Junction,3.9,,,,310,
My Bar Headquarters,3.7,,,,3010,
Nando's,3.7,,,,1891,
Nizam's Kathi Kabab,3.8,,,,1761,
Oh My God,3.8,,,,367,
Open House Cafe,3.8,,,,1158,
Parikrama - The Revolving Restaurant,3.8,,,,2689,
Pind Balluchi,3.6,,,,1434,
Pizza Hut,3.5,,,,541,
Playboy Cafe,3.7,,,,140,
Privee',3.6,,,,61,
Punjabi By Nature,3.7,,,,1256,
Quote - The Eclectic Bar and Lounge,3.5,,,,422,
Rajdhani Thali Restaurant,3.6,,,,1134,
Route 04,3.5,,,,1863,
Sbarro,3.5,,,,1311,
Shake Square,3.7,,,,1333,
South Indian Snacks,3.6,,,,50,
SSKY Bar & Lounge,3.5,,,,92,
Starbucks,3.8,,,,552,
Subway,3.5,,,,276,
Tamasha,3.7,,,,1801,
Taste of China,3.5,,,,327,
Teddy Boy,3.9,,,,1020,
The Beer Cafe - BIGGIE,3.8,,,,645,
The Flying Saucer Cafe,3.9,,,,143,
The Junkyard Cafe,3.9,,,,1545,
The Luggage Room Kitchen And Bar,3.5,,,,63,
The Rolling Joint,3.9,,,,783,
The Vault Cafe,3.9,,,,3413,
Veda,3.9,,,,1087,
Warehouse Cafe,3.7,,,,4914,
Zaffran,3.9,,,,908,
Zen,3.5,,,,1027,
Zizo,3.9,,,,1071,
Kettle & Kegs,0,,,,0,
Ovenstory Pizza,0,,,,0,
Shree Hari Vaishnav Dhaba,0,,,,2,
38 Barracks,4.4,,,,840,
Ambrosia Bliss,4,,,,2333,
Ardor 2.1,4.1,,,,1821,
Barbeque Nation,4.1,,,,3164,
Bikkgane Biryani,4.1,,,,740,
Biryani Blues,4,,,,510,
Caffe 9,4.2,,,,961,
Excuse Me Boss,4.1,,,,799,
Fa Yian,4,,,,412,
Farzi Cafe,4.4,,,,1942,
