Restaurant Name,Has Online delivery,UNIQUE,Count,percentage,Aggregate rating,average
Hot & Spicy,No,,,,0,
Hot Fork,No,,,,0,
Icon Foods,No,,,,0,
Indochi Cafe & Restaurant,No,,,,0,
Love to Wish,No,,,,0,
M Cr??me,No,,,,0,
Mamta Tiffin Service,No,,,,0,
Panther Restaurant,No,,,,0,
Pizza King,No,,,,0,
Radha Swami Shudh Vaishno Dhaba,No,,,,0,
RD's Authentic Aroma,No,,,,0,
Savour,No,,,,0,
Sheetla Dhaba,No,,,,0,
Shree Bikaner Mishthan Bhandar,No,,,,0,
Shree Shyam Bhojnalaya,No,,,,0,
Shristi Happy Eats,No,,,,0,
Singh Terrace Grill,No,,,,0,
Swami Vaishno Dhaba,No,,,,0,
Wah Ji Wah,No,,,,0,
Cafe 55 - Park Inn,No,,,,3.2,
New Town Lounge & Bar - Park Plaza,No,,,,3.4,
New Town Pastry Shop - Park Plaza,No,,,,3.2,
New Town Cafe - Park Plaza,No,,,,3.7,
The Great Kabab Factory - Park Plaza,No,,,,3.7,
K2 Restaurant,No,,,,3,
Angels in my Kitchen,Yes,,,,3.1,
Barista,No,,,,3.3,
Cafe Coffee Day,No,,,,2.8,
Cafe Naklee,No,,,,3.2,
Chacha's Take Away,Yes,,,,2.8,
Colonel's Kababz,Yes,,,,3,
Domino's Pizza,No,,,,2.8,
Green Chick Chop,No,,,,2.8,
Naushi's Kitchenette,No,,,,3.4,
Sapra Pastry Treat,Yes,,,,3,
Subway,Yes,,,,3.2,
Sunny Sweets,No,,,,3.3,
The Healthy Rasoi,No,,,,3.7,
Burger King,Yes,,,,3,
Hong Kong Express,Yes,,,,3.2,
Viva Hyderabad,Yes,,,,2.3,
Cafe Rouge - Ramada,No,,,,3.5,
Shamji Sweets,No,,,,3.2,
Sialkoti Vaishno Dhaba,No,,,,3.1,
Haldiram's,No,,,,3.6,
Club Prison,No,,,,2.4,
Maa Bhagwati Tiffins,No,,,,3,
Spices & Sauces,No,,,,3,
Indian Food Cafe,No,,,,0,
Assam Tea Corner,No,,,,2.8,
Bakingo,No,,,,3,
Balaji Sweets & Snacks,No,,,,2.9,
Baxman Delivers,No,,,,2.9,
Burger Point,No,,,,3.2,
Burger Xpress,No,,,,3.1,
Cafe Coffee Day,No,,,,2.8,
Cake Factory,Yes,,,,3.3,
Cake Maker,No,,,,3,
Captain's Table,No,,,,3.1,
Carpedium,No,,,,3.1,
Chef Sack Kitchen,No,,,,3.1,
Chinar Junction,No,,,,2.8,
Frontier,No,,,,2.9,
Ganpati Rasoi,No,,,,3.2,
Indian & Chinese Corner,No,,,,3.1,
Juice Lounge,No,,,,3.4,
KB's Kulfi & Icecream,Yes,,,,3.3,
KB's Kulfi & Icecream,Yes,,,,3.3,
Keventers,No,,,,2.6,
KFC,Yes,,,,2.7,
Madras Cafe,No,,,,3.3,
Madurai Meenakshi Bhawan,No,,,,3.4,
Masala Fusion,Yes,,,,3.2,
Moti Mahal Delux Tandoori Trail,No,,,,2.9,
Mr. & Mrs. Idly,No,,,,3,
Pind Bawarchi,Yes,,,,3.1,
Republic of Chicken,No,,,,2.8,
Ridhi Sidhi,Yes,,,,3,
Romi Da Dhaba,No,,,,3.2,
Shamji Sweets,No,,,,2.9,
Six Pack Kitchen,No,,,,3.2,
Taste of Dilli 6,Yes,,,,2.7,
The Guls,No,,,,3,
The League Restaurant,No,,,,3.1,
The Plaza Solitaire,No,,,,3.3,
Uttarakhand Fast Food,No,,,,2.9,
Viva Hyderabad,Yes,,,,2.5,
Wahid Food Corner,No,,,,2.8,
Zync - Rosewood Hotel,No,,,,3,
Konetto Pizza,No,,,,3.5,
South Store,No,,,,3.5,
Grill & Cafe,No,,,,0,
Gurgaon Mughlai Chicken,No,,,,0,
Mughal Chicken Corner,No,,,,0,
Oven Aroma,Yes,,,,0,
Radha Swami Shudh Vaishno Dhaba,No,,,,0,
Special No.1 Biryani Corner,No,,,,0,
Sun Sweets Restaurant,No,,,,0,
Captain Bill$ Deliverz,Yes,,,,2.4,
China Hut,No,,,,2.4,
G Dot,Yes,,,,2.4,
Cake2you,No,,,,3,
Delight Express,No,,,,2.9,
Empress,No,,,,2.9,
Hotel DDR,No,,,,2.8,
Khan Kabab Corner,No,,,,3,
Kwality Cakes and Bakes,No,,,,3.2,
Nite Bites,Yes,,,,2.9,
Oriental Kitchen Express,Yes,,,,3.3,
Royal Mart,No,,,,2.9,
Sikkim Fast Food,No,,,,2.7,
ZASTY,No,,,,3.5,
Maachh Bhaat,Yes,,,,3.4,
ANTIDOTE,No,,,,0,
Bablu Fast Food,No,,,,0,
Bikaner Sweets Snacks & Restaurant,No,,,,0,
Bikaner Sweets,No,,,,0,
Biryani & Rolls,No,,,,0,
Cafe Coffee Day,No,,,,0,
Chefy's Kitchen,No,,,,0,
Delight Express,No,,,,0,
Dilli Rasoi,No,,,,0,
Dujal Cafe,No,,,,0,
Full Dabba,No,,,,0,
HSI Food World,No,,,,0,
Krishna Restaurant,No,,,,0,
Lajawaab House Cafe,No,,,,0,
Luncheon Box,No,,,,0,
Modern Sweets,No,,,,0,
Radha Swami Shudh Vaishno Dhaba,No,,,,0,
Raju Vaishno Amritsari Dhaba,No,,,,0,
Rustic Flavours,No,,,,0,
VK Food Court,No,,,,0,
Domino's Pizza,No,,,,3.3,
GoGourmet,No,,,,3.2,
Snack Shack,Yes,,,,2.7,
West??ross,Yes,,,,3.5,
Fruitpro,No,,,,0,
Konetto Pizza,No,,,,0,
Tpot,Yes,,,,0,
Cake Desire,No,,,,3,
Burger Xpress,No,,,,0,
Divine Bites,Yes,,,,0,
Interaxis,No,,,,0,
Kwality wall's swirl's,No,,,,0,
Milan Apna Dhaba,No,,,,0,
R S Foods,No,,,,0,
Ronny Flavours,No,,,,0,
Shahi  Chicken Corner,No,,,,0,
Behrouz Biryani,Yes,,,,3.4,
Biryani Art,Yes,,,,3.3,
Daawat-e! Amritsar,Yes,,,,2.9,
Faasos,Yes,,,,3,
Ovenstory Pizza,Yes,,,,3.3,
Pizza Hut Delivery,Yes,,,,2.7,
Game n Grillz,No,,,,3.6,
Hamoni Red: Play Cafe,No,,,,3.9,
Firangi Bake,Yes,,,,0,
Indochi,No,,,,0,
Kettle & Kegs,Yes,,,,0,
The Food Garage,No,,,,0,
Machan,No,,,,3.3,
Mainland China,No,,,,3.3,
Pind Balluchi,Yes,,,,3.4,
Sagar Ratna,No,,,,2.7,
Sasuraal,Yes,,,,3.3,
feel ALIVE,No,,,,4.7,
Matchbox,No,,,,4.8,
Prankster,No,,,,4.8,
21 Gun Salute,Yes,,,,3.9,
Backyard Underground,No,,,,3.5,
Bikanervala,Yes,,,,3.8,
Chin Chin,Yes,,,,3.5,
Domino's Pizza,No,,,,3.6,
Eggjactly,No,,,,3.7,
Gola Sizzlers,No,,,,3.5,
Hunter Valley,No,,,,3.6,
Jungle Jamboree,No,,,,3.8,
McDonald's,Yes,,,,3.5,
My Bar Headquarters By Dockyard,No,,,,3.9,
Punjabi by Nature,Yes,,,,3.6,
Sandys Cocktails & Kitchen,Yes,,,,3.9,
Sense Of Spirits,No,,,,3.9,
Starbucks,No,,,,3.7,
Swagath,No,,,,3.6,
The Old School Brew House,No,,,,3.9,
Barcelos,No,,,,4,
Boombox Brewstreet,No,,,,4.4,
BRONX Bar Exchange,No,,,,4.1,
Djinggs,No,,,,4.1,
Downtown - Diners & Living Beer Cafe,No,,,,4.4,
Drifters Cafe,No,,,,4.1,
Gung The Palace,Yes,,,,4.2,
Magadh and Awadh,Yes,,,,4,
Mamagoto,Yes,,,,4.1,
Molecule Air Bar,No,,,,4.2,
Nagai,No,,,,4.3,
PitStop BrewPub,No,,,,4.4,
The Classroom,No,,,,4.4,
bu??no,Yes,,,,3.8,
Bottles and Barrels,No,,,,4,
A One Rasoi,No,,,,3.1,
Angeethi,No,,,,2.7,
Burger Point,No,,,,2.7,
Cafe Coffee Day,No,,,,3.1,
Cake Castle,Yes,,,,3.2,
CHA,No,,,,3.2,
Chai Point,Yes,,,,2.9,
Fees - The Cloud Kitchen,No,,,,2.9,
Food Ka Mood,Yes,,,,3.1,
Frozen Factory,No,,,,3.1,
Goli Vada Pav No. 1,Yes,,,,3.1,
Green Chick Chop,No,,,,3.1,
Harichatni.com,No,,,,2.9,
Kk Chaap Express,No,,,,3.3,
Latenight.in,Yes,,,,3,
Mitran Da Junction,No,,,,2.7,
Mogambo Kitchen,No,,,,3.1,
Mother Ringlet,No,,,,2.5,
Sna-X Point,No,,,,3.2,
Wow! Momo,No,,,,2.9,
Yashna,Yes,,,,2.8,
Twigly,Yes,,,,4.5,
Bakers Oven,Yes,,,,3.6,
Dilli 6 On Wheels,Yes,,,,3.8,
La Pino'z Pizza,Yes,,,,3.5,
LeanBodyMeals,Yes,,,,3.9,
Om Sweets & Snacks,Yes,,,,3.5,
Tasty Tweets,Yes,,,,3.9,
The Kathi Rolls,Yes,,,,3.5,
Bite N Sip,No,,,,0,
Burger Joint,No,,,,0,
Dilli Light,No,,,,0,
Love Desserts,No,,,,0,
Flying Cakes,Yes,,,,2.4,
Bikkgane Biryani,Yes,,,,4,
Cafeast,No,,,,3,
Yomo-Your Only Momo Outlet,No,,,,3,
Afghan Indian,No,,,,0,
Al Fanoos,No,,,,0,
Alwar Sweets & Namkeen,No,,,,0,
Baskin Robbins,No,,,,0,
Bisht Food Court,No,,,,0,
Burj Al Arab,No,,,,0,
Chinese Chilli Sizllers,No,,,,0,
Costa Coffee,No,,,,0,
Costa Coffee,No,,,,0,
Desi Bites,No,,,,0,
Fresh Food,No,,,,0,
Kwality Restaurant,No,,,,0,
Kwality Wall's Swirl's,No,,,,0,
Nehra's Food Point,No,,,,0,
Orange Food Cart,No,,,,0,
Royal Sweets,No,,,,0,
Shree Annapurna,No,,,,0,
Underground Restaurant,No,,,,0,
Midnight Sutra,Yes,,,,3,
Paddy's - The Grub Grill,Yes,,,,3.2,
Sugar Rush By Saiba,No,,,,4.1,
Bamboo House,Yes,,,,3.4,
Burger Unlimited Kitchen,Yes,,,,3.2,
Cafeteria Point,Yes,,,,3.2,
Choudhary Gohana Famous Jalebi,No,,,,3.2,
Curry N' Tandoor,No,,,,3.2,
Dawat-e-Ishq,Yes,,,,3.3,
Delish Bake N Choc,No,,,,2.9,
Flavours,No,,,,3.3,
Om Sweets & Snacks,Yes,,,,2.8,
Om Sweets,Yes,,,,3.2,
Raj Restaurant,No,,,,3.1,
Tasha's Artisan Foods,No,,,,3.2,
Urban Kitchen,Yes,,,,3.2,
Nite Bites,Yes,,,,3.7,
Apna Dabba,No,,,,0,
BiBo's Kitchen,No,,,,0,
Burger Point,No,,,,0,
Cherry Crossing Foods,No,,,,0,
Chinese Fast Food,No,,,,0,
Chinese Food,No,,,,0,
Chop Shop,No,,,,0,
Dhara,No,,,,0,
Foody Goody,No,,,,0,
Kehar Sweets And Snacks,No,,,,0,
Muskan Chicken Biryani,No,,,,0,
Shakes Cakes 'n' More,No,,,,0,
Shri Sai Kirpa Food,No,,,,0,
Sufiya Hotel,No,,,,0,
The Breakfast Bite,No,,,,0,
Veg Hut,No,,,,0,
Raj Restaurant,Yes,,,,2.4,
Burger Hut,No,,,,2.8,
Dancing Turkeys,No,,,,3.3,
The Pack King,No,,,,0,
Bikaner Misthan Bhandar,No,,,,0,
Zizo,Yes,,,,3.9,
Grill King Kabab & Curries,Yes,,,,2.4,
Aarush - A Mediterranean Kitchen,No,,,,3.2,
Blossoms 4 U,Yes,,,,3,
Breakfast@60,No,,,,3.1,
Bunny Burgers,Yes,,,,3.3,
Curry Haus,Yes,,,,3.1,
Droolfi,No,,,,3,
Earthen Spices,No,,,,2.7,
FatPlates,No,,,,3,
Food4U!,Yes,,,,3.2,
Ghar Ki Handi,No,,,,3,
Giani,No,,,,3.2,
Great Desserts Company,No,,,,3.3,
Green Chick Chop,No,,,,2.9,
Mughlai Treat,No,,,,3.2,
Munch,Yes,,,,3.1,
New Spice World,No,,,,2.9,
Pure Bliss,No,,,,3,
Puskar Raj Momos & Chinese Corner,No,,,,3,
Sai-Yo!,Yes,,,,3.1,
Shanghai Cafe,Yes,,,,2.6,
The Blaze,No,,,,2.9,
Ullu Delivers,Yes,,,,2.8,
Yomo-Your Only Momo Outlet,No,,,,3,
Dimsum Democracy,No,,,,3.6,
Midnight Hunger,No,,,,3.8,
The Punjab Kitchen,Yes,,,,3.9,
Too Maach,Yes,,,,3.5,
Apni Rasoi,No,,,,0,
Bala Ji Sweets Corner,No,,,,0,
Barista,No,,,,0,
Biryani Express,No,,,,0,
Cafe #22hours,No,,,,0,
Cake Innovation,No,,,,0,
Chawla's?_,No,,,,0,
China Gathering,No,,,,0,
Chinese Hot Express,No,,,,0,
Cookingo,No,,,,0,
Firefly,No,,,,0,
Foodie Xpress,No,,,,0,
Go! Dimsum,No,,,,0,
Kanha North & South Indian Veg.,No,,,,0,
Kings Kulfi,No,,,,0,
Lassi Cafe,No,,,,0,
Marwadi Khana,No,,,,0,
Nukkadwala,No,,,,0,
Ravi Fast Food,No,,,,0,
Shivalik Tiffin Corner,No,,,,0,
Street Food By Punjab Grills,No,,,,0,
Sweet Ginger Bakery,No,,,,0,
The Rolling Stove,No,,,,0,
Vijeta's Happy Kitchen,No,,,,0,
Chawla's?_,No,,,,2.2,
Chy - Na Express,Yes,,,,2.2,
Kwality,No,,,,2.4,
Brother's Snacks and Shakes,Yes,,,,3.2,
Ginger Garlic,Yes,,,,2.8,
Arabicaa 9,No,,,,3.3,
Burger Xpress,No,,,,3.4,
Dilli Light,Yes,,,,2.6,
KB's Kulfi & Icecream,Yes,,,,2.8,
MyLoveBiryani.Com,No,,,,3.2,
Tandoori Adda,Yes,,,,3.2,
Tiffins 4 U,No,,,,3.1,
Cafe Cup of Life,Yes,,,,3.7,
DCK- Dana Choga's Kitchen,Yes,,,,3.5,
Kishu Di Hatti Sweets,No,,,,3.6,
KC Bakers,Yes,,,,3.2,
Sham Sweets,No,,,,2.8,
Bake Cuddle,No,,,,0,
Gopala,No,,,,3.4,
Halki Aanch,Yes,,,,3.3,
New Sukh Sagar,No,,,,3.2,
Sweets Corner,No,,,,2.7,
Minus5degree,No,,,,3.6,
Qureshi's Kabab Corner,No,,,,4,
Delicious Food Corner,No,,,,0,
Firangi Bake,No,,,,0,
Kettle & Kegs,Yes,,,,0,
The Daily,No,,,,0,
Burger Singh,Yes,,,,3.4,
Captain Bill$ Deliverz,Yes,,,,2.5,
Chaayos,Yes,,,,3.3,
Chai Point,Yes,,,,3.4,
Cyber Adda 24,No,,,,3.3,
Desi Thaat,Yes,,,,3.2,
Doughlicious,Yes,,,,3.3,
Dunkin' Donuts,Yes,,,,3.4,
Gulshan Dhaba,No,,,,3.4,
Karari Kurry,Yes,,,,3.4,
Moti Mahal Delux,Yes,,,,3.2,
Needs Gourmet,No,,,,3.1,
Rao's Meeting Point,No,,,,3.4,
Sadabahar Hotel,No,,,,2.9,
Sagar Ratna,Yes,,,,2.5,
Shri Ram Restaurant,No,,,,3.1,
Shri Ram Restaurant,No,,,,2.6,
Subway,Yes,,,,2.9,
Subway,Yes,,,,2.9,
Sugarcraft Patisserie,No,,,,3.3,
Tea Halt,Yes,,,,2.8,
The Golden Dragon,Yes,,,,2.6,
The Spice Room,Yes,,,,3.4,
The Tongue Twister,No,,,,3.4,
56 Fresca,Yes,,,,3.7,
BreakfastBay,Yes,,,,3.5,
Cafe Maple Street,Yes,,,,3.5,
Fat Lulu's,Yes,,,,3.7,
Fat Monk,Yes,,,,3.9,
First Eat,No,,,,3.6,
Flying Tuk Tuk,No,,,,3.9,
FreshMenu,Yes,,,,3.9,
Little Skillet,No,,,,3.5,
PKay,No,,,,3.7,
Shama Chicken Corner,No,,,,3.6,
Starbucks,No,,,,3.7,
Tandoori Nation,Yes,,,,3.5,
Truffle Tangles,No,,,,3.5,
Domino's Pizza,No,,,,2.3,
KB's Icecream & Kulfis,Yes,,,,2.3,
Wah Ji Wah,No,,,,2.4,
The Brewhouse,No,,,,4.1,
Boozer's,No,,,,0,
Cheffy's,No,,,,0,
Cake Point,Yes,,,,2.8,
Shyam Sweets,No,,,,2.8,
Uma Foodies' Hut,No,,,,3.1,
AK Your Food,No,,,,0,
Freshnfit.in,No,,,,0,
Shri Ram Bhojnalaya,No,,,,0,
Special O-cake-sions,No,,,,0,
Tasteful Biryani,No,,,,0,
Bikanervala,Yes,,,,3.4,
Indian Grill Room,Yes,,,,4.5,
Oriental Fusion,Yes,,,,3.3,
Purani Dilli's Al Karam Kebab House,Yes,,,,3.4,
Rollmaal,Yes,,,,3.4,
Speedy Chow,Yes,,,,3.2,
Arabian Nites,Yes,,,,3.8,
Giani's,Yes,,,,3.7,
Giani,Yes,,,,3.6,
Juste Miam,Yes,,,,3.9,
Patiala Shahi,Yes,,,,3.5,
The Kathis,Yes,,,,3.8,
Wai Yu Mun Ching,Yes,,,,3.6,
Bernardo's,Yes,,,,4,
Biryani Art,Yes,,,,4.1,
Nosh,Yes,,,,4.1,
Tandoor Express,Yes,,,,4.2,
Tandoori KnockOuts,Yes,,,,4.2,
Udaipuri,Yes,,,,4,
Begonia,No,,,,3,
Cakes & Muffins,No,,,,3.3,
Halki Aanch,Yes,,,,2.7,
Hungry Gopal,No,,,,3.2,
Kuzo,No,,,,3.2,
Lovecrumbs Bakery,No,,,,3.4,
Organic Express,Yes,,,,3.4,
Pizza Hut,Yes,,,,2.8,
Roti Te Boti,Yes,,,,2.8,
Behrouz Biryani,Yes,,,,3.7,
Caf?? Burger BC,Yes,,,,3.7,
Dilli Darbar,Yes,,,,3.7,
Fu.D,Yes,,,,3.7,
Jarfull,Yes,,,,3.7,
Mochamania,No,,,,3.7,
Mukhtalif Biryanis,Yes,,,,3.7,
Mummy's Kitchen,No,,,,3.5,
Ovenstory Pizza,Yes,,,,3.7,
The Godinho's,No,,,,3.8,
Kujay's Spoon,No,,,,0,
Lily Food's,No,,,,0,
Mutton Mewar,No,,,,0,
Tasty But Healthy,No,,,,0,
Teddy Choco Studio,No,,,,0,
Chin Chow,No,,,,2.4,
Cafe Sante,No,,,,4.3,
Mughal Dine-Esty,Yes,,,,4,
Nuterro,Yes,,,,4,
Sandburg Shakes,Yes,,,,4,
The Millionaire Express,Yes,,,,4,
Ammu's South Indian Restaurant,No,,,,3.1,
Elma's Delivers,No,,,,3.1,
Faasos,Yes,,,,3.2,
Foodrath,No,,,,3,
Hyderabad House,Yes,,,,2.7,
Kake Da Hotel,Yes,,,,3.1,
Mitraao,Yes,,,,3.4,
PomoDoro Bistro,Yes,,,,3.4,
Shri Shyam Ji Ke Mashhoor Chhole Bhature,No,,,,3.3,
Spice Aangan Express,No,,,,3,
Subway,No,,,,3.3,
Swaad Ka Khazana,No,,,,2.6,
The Toddy Shop,Yes,,,,3.4,
Truffles,Yes,,,,3.2,
Cafe Bonkerz,Yes,,,,3.6,
Wrapchick,Yes,,,,3.9,
WoW - Vada Pav & More,Yes,,,,2.2,
Me Kong Bowl,Yes,,,,4,
Palmyra - The Bristol Hotel,No,,,,3.3,
Shanghai Bar & Lounge - The Bristol Hotel,No,,,,3,
Zaffran - The Bristol Hotel,No,,,,3.2,
Zaffran - The Claremont,No,,,,3,
Clove - The Galgotias,No,,,,2.7,
Green Leaf,No,,,,3,
Tokyo,No,,,,3,
Cigar Lounge - The Oberoi,No,,,,3.2,
Melange - The Pllazio Hotel,No,,,,3.6,
Qureshi's Kabab Corner,No,,,,3.3,
EEST - The Westin Gurgaon,No,,,,3.9,
Prego - The Westin Gurgaon,No,,,,3.8,
Seasonal Tastes - The Westin Gurgaon,No,,,,3.9,
Xiao Chi - The Westin Sohna Resort & Spa,No,,,,3.4,
The Living Room - The Westin Sohna Resort & Spa,No,,,,3.7,
The Bar - Trident Gurgaon,No,,,,3.3,
Konomi - Trident Gurgaon,No,,,,3.5,
L'Opera,Yes,,,,3.7,
Town Hall,No,,,,3.5,
Whisky Samba,No,,,,3.8,
Chokola,No,,,,3.1,
Citrus Cafe - Lemon Tree Hotel,No,,,,2.7,
Green Hut,No,,,,2.8,
My Plate,No,,,,3.1,
PiccoLicko,Yes,,,,3.3,
Pind Balluchi,Yes,,,,2.7,
Raj Xpresso,No,,,,2.9,
Riders Hub,No,,,,3.1,
Shivani Catering Services,No,,,,3.1,
The Diet Kitchen,Yes,,,,3.3,
The Gr8 Taste of India,Yes,,,,3,
World Art Cafe,No,,,,3.3,
XLNC Bakers,No,,,,2.9,
Adventure Food,No,,,,0,
Baba Da Dhaba,No,,,,0,
Bandhani Fast Food,No,,,,0,
Bhai Ji Dhaba,No,,,,0,
Bikaner Sweets,No,,,,0,
Cafe Coffee Day,No,,,,0,
Cake 24x7,Yes,,,,0,
Chaayos,Yes,,,,0,
Chauhan Hotel,No,,,,0,
Costa Coffee,No,,,,0,
Dheeraj Vaishno Dhaba,No,,,,0,
Domino's Pizza,No,,,,0,
Food Ka Adda,No,,,,0,
iKitchen,Yes,,,,0,
Knights Kitchen,No,,,,0,
Ku-Kukdu-Ku,No,,,,0,
Mogambo Kitchen,No,,,,0,
Noore-e-Seva,No,,,,0,
Premier Bite,No,,,,0,
Renu Sweets & Restaurant,No,,,,0,
Street Foods by Punjab Grill,No,,,,0,
Tpot,Yes,,,,0,
Uttrakhand Bohra Bhojnalaya & Fast Food,No,,,,0,
Uttrakhand Dhaba,No,,,,0,
Tea Halt,Yes,,,,3.1,
Dunkin' Donuts,Yes,,,,3.5,
Indian Bistro Company,No,,,,3.7,
Department of Food and Social Affair,No,,,,0,
Tpot,Yes,,,,0,
Anaaj,No,,,,2.9,
Au Bon Pain,No,,,,2.8,
Cafe Coffee Day,No,,,,3.1,
Cafe Friends,No,,,,3.2,
Chinese Bistro,No,,,,2.9,
Dunkin' Donuts,No,,,,3.4,
Madras Coffee House,No,,,,3,
McDonald's,No,,,,3.3,
Nukkadwala,No,,,,3.2,
Salad Chef,Yes,,,,3.2,
Subway,No,,,,3.3,
Tea Halt,Yes,,,,2.7,
The Kachori Co.,No,,,,2.5,
Urban Dhaba,Yes,,,,3.2,
A Piece of Paris,Yes,,,,3.9,
Chaayos,Yes,,,,3.8,
Doughlicious,No,,,,3.6,
Eggers Madhouse,Yes,,,,3.7,
Live Wok,No,,,,3.6,
Orange Chopsticks,Yes,,,,3.5,
Pizzoccheri,No,,,,3.6,
Creamy Innovation,No,,,,0,
Dosa Republic,No,,,,0,
Giani's,No,,,,0,
Chai Point,Yes,,,,2.4,
Latitude - Vivanta By Taj,No,,,,3.8,
Thai Pavilion - Vivanta By Taj,No,,,,4,
3H Kitchen,No,,,,2.9,
Manish Sweets & Bakers,No,,,,2.8,
Oasis Kitchen,No,,,,2.9,
Ramchandra Chinese Food,Yes,,,,2.7,
Sona Chinese,No,,,,2.8,
The Pastry Hut,Yes,,,,2.9,
Aggarwal Sweets & Restaurant,No,,,,0,
Bhoomika,No,,,,2.9,
FoodZilla,Yes,,,,3.3,
Goli Vada Pav No. 1,Yes,,,,3.4,
Indo Chinese,No,,,,3.2,
Kathi Junction,Yes,,,,3,
Romi da Dhaba,Yes,,,,3.1,
Shamji Snacks,No,,,,2.7,
The Lunch Break,No,,,,2.9,
Veg O Non,No,,,,3.1,
Alwar Sweets,No,,,,3.5,
Bakers Oven,Yes,,,,3.6,
Burgzz Bee,Yes,,,,3.6,
Chinese Corner,Yes,,,,3.6,
Iroha,No,,,,3.7,
Chaudhary Burfi Wala,No,,,,0,
Curry 'n' Phulka,Yes,,,,2.4,
Wah Ji Wah,Yes,,,,2.2,
Woods Spice,No,,,,3.2,
Mocha,No,,,,4.6,
Terra Mayaa Restaurant and Lounge,No,,,,3.9,
The Basement Caf??,No,,,,4.7,
Strawberry Fields,No,,,,4.1,
Brooklyn Blues,No,,,,4.2,
Confucius,No,,,,4.1,
The Woking Mama,No,,,,4.4,
Underdoggs Sports Bar & Grill,No,,,,4.4,
The Zouq : Resto-Cafe,No,,,,4.1,
BrewBakes,No,,,,4,
Barbeque Nation,No,,,,4.9,
Yo! China,No,,,,3.6,
4 Seasons,No,,,,3.6,
11th Avenue Cafe Bistro,No,,,,4.1,
Caf?? Riverrun,No,,,,4.2,
Fat Belly,No,,,,4.1,
The Corner Cafe,No,,,,4.1,
Chung Fa,No,,,,4.3,
Shanghai Salsa,No,,,,4,
Three Guys,No,,,,4.3,
Ziya,No,,,,4.3,
Exotica,Yes,,,,4.3,
AB's - Absolute Barbecues,No,,,,4.9,
Chili's,Yes,,,,4.7,
The Fisherman's Wharf,No,,,,3.8,
Chili's,Yes,,,,4.6,
Pine & Dine,Yes,,,,4,
Jonathan's Kitchen - Holiday Inn Express & Suites,No,,,,4.3,
AB's - Absolute Barbecues,No,,,,4.9,
Con?_u,No,,,,4.8,
Dock Forty Five,No,,,,4.2,
Mocha Bar,No,,,,4.2,
Olive Bistro,Yes,,,,4.4,
Prost Brew Pub,No,,,,4.1,
United Kitchens of India,No,,,,4.1,
Heart Cup Coffee,Yes,,,,4.2,
Churrolto,No,,,,4.7,
The Grand Trunk Road,Yes,,,,3.9,
Sahib??s Barbeque by Ohri??s,No,,,,4.1,
KYRO,No,,,,3.7,
JAL - A Jungle Restaurant,No,,,,4.1,
Oye24,No,,,,4.1,
Hobnob Gourmet Caf??bar,No,,,,4.1,
Mangosteen Cafe,No,,,,3.9,
Mama Loca,No,,,,4.2,
Vidorra,No,,,,4,
Cafe Palette,No,,,,3.8,
Nafees Restaurant,No,,,,4,
The Creative Kitchen - Radisson Blu Hotel,No,,,,3.8,
Square - Sayaji Hotel,No,,,,4.3,
Freito,No,,,,3.1,
Cafe Terazza,No,,,,3.9,
Cafe Yolo,No,,,,3.8,
Just My Bakes,No,,,,3.9,
10 Downing Street,No,,,,4,
Cakesmith's Alley,No,,,,4.3,
The Yellow Chilli,No,,,,4.1,
Waffle House,No,,,,4.3,
Mocha,No,,,,4,
Tapri Central,Yes,,,,4.7,
Blackout,No,,,,3.9,
Mamu's Infusion,Yes,,,,4,
Nibs Cafe,Yes,,,,4.4,
On The House,Yes,,,,4.4,
WTF,No,,,,4,
Chokhi Dhani,No,,,,4.3,
Meraaki Kitchen,No,,,,3.9,
Taruveda Bistro,Yes,,,,4.2,
The Forresta Kitchen & Bar,No,,,,4,
Monarch Restaurant - Holiday Inn Jaipur City Centre,No,,,,4.5,
Chao Chinese Bistro - Holiday Inn Jaipur City Centre,No,,,,4.3,
Zolocrust - Hotel Clarks Amer,Yes,,,,4.9,
Mutual's,Yes,,,,4.2,
O2- The Plant Cafe,No,,,,4.1,
Cafe LazyMojo,Yes,,,,4.3,
Replay,No,,,,4.3,
Sky Beach,No,,,,2.6,
Decked Up By Garden Cafe,Yes,,,,3.9,
Calzone- Dine & Rooftop Lounge,Yes,,,,3.7,
Hucka,No,,,,3.3,
The Zaffran,No,,,,3.3,
Gyan Vaishnav,No,,,,3.9,
Liquid,No,,,,4,
Royal Dine - Hotel Royal Cliff,No,,,,4,
Urban Crave Express,No,,,,3.5,
Atmosphere Grill Cafe Sheesha,No,,,,3.6,
Mr Brown,No,,,,3.9,
Dunkin Donuts,No,,,,4.1,
Little Chef,No,,,,4.1,
UrbanCrave,No,,,,3.9,
Chin Mi,No,,,,3.9,
Tadka,No,,,,3.8,
Dhuaan,No,,,,4.3,
Upper Crust,No,,,,3.4,
Anaicha's Food Joint,No,,,,3.6,
Aromas,No,,,,4.1,
Waterside - The Landmark Hotel,No,,,,3.9,
Verandah,No,,,,3.7,
Barbeque Nation,No,,,,4,
Nawras Seafood Restaurant,No,,,,4.6,
Ifthar,No,,,,3.8,
Dhe Puttu,Yes,,,,4.4,
Kashi Art Cafe,No,,,,4.2,
Grand Hotel Restaurant,No,,,,4.2,
Barbeque Nation,No,,,,4.5,
