unique ,u1,u2,u3,u4,,v1,v2,v3,v4,sum,,number of restaurant ,percentage 
,North Indian, Mediterranean, Asian,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Street Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food, Pizza,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Ice Cream, Desserts,,,,,,,,,,,
,Cafe, Italian, Lebanese, Continental, Mediterranean,,,,,,,,
,South American,,,,,,,,,,,,
,European, Italian,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Continental, American, Italian, Seafood, North Indian, Cafe,,,,,,,
,North Indian, Continental, Asian,,,,,,,,,,
,Asian, Sushi,,,,,,,,,,,
,Thai,,,,,,,,,,,,
,Arabian, North Indian,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Fast Food, Chinese,,,,,,,,,,
,Raw Meats, North Indian, Fast Food,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Biryani,,,,,,,,,,,,
,North Indian, South Indian, Mughlai,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Fast Food, Street Food,,,,,,,,,,,
,Chinese, South Indian,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,Mughlai, North Indian,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Beverages,,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian, Chinese, Fast Food,,,,,,,,,,
,Cafe, Continental, Italian, North Indian,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Fast Food, North Indian,,,,,,,,,,,
,Cafe, Fast Food,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian, Chinese, Mughlai,,,,,,,,,,
,Desserts, Beverages,,,,,,,,,,,
,Continental, Mexican, Fast Food, North Indian, Chinese,,,,,,,,
,Cafe, Italian,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Cafe, Chinese, Fast Food,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Desserts,,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Cafe, Chinese, Italian,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Chinese, Continental, Italian, North Indian,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Cafe, Continental, Italian, Mexican, Chinese, American,,,,,,,
,Cafe, Continental, Italian, Fast Food,,,,,,,,,
,Italian, Continental, Mexican, North Indian,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Cafe, Fast Food,,,,,,,,,,,
,Fast Food, Italian, Beverages,,,,,,,,,,
,Continental, American, Italian, North Indian, Chinese,,,,,,,,
,Cafe, Italian, Chinese, North Indian,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Chinese, Continental,,,,,,,,,,,
,Cafe, Italian, North Indian,,,,,,,,,,
,Cafe, Fast Food,,,,,,,,,,,
,Chinese, Thai, Japanese, Tibetan,,,,,,,,,
,Street Food, Chinese, North Indian,,,,,,,,,,
,North Indian, Chinese, Italian,,,,,,,,,,
,North Indian, Chinese, Fast Food, Cafe,,,,,,,,,
,Ice Cream, Desserts,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Fast Food, Burger,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Cafe, North Indian, Chinese,,,,,,,,,,
,Chinese, Thai, Continental, Fast Food, North Indian,,,,,,,,
,Cafe,,,,,,,,,,,,
,Cafe, North Indian, Continental, Italian,,,,,,,,,
,American, Fast Food, Salad, Healthy Food,,,,,,,,,
,Sushi, Asian,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Cafe, Continental, Mexican, Italian, North Indian, Chinese,,,,,,,
,Cafe, Continental, Italian, Chinese,,,,,,,,,
,Cafe, North Indian, Continental, Chinese,,,,,,,,,
,Cafe, Continental, Chinese, North Indian, Italian,,,,,,,,
,Street Food,,,,,,,,,,,,
,Fast Food, Beverages,,,,,,,,,,,
,Italian, Pizza,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Cafe, Fast Food, Italian,,,,,,,,,,
,Street Food, South Indian,,,,,,,,,,,
,Burger, Fast Food,,,,,,,,,,,
,Cafe, Italian, Continental,,,,,,,,,,
,Cafe, Italian, Continental, Mexican,,,,,,,,,
,Cafe, Continental, Italian,,,,,,,,,,
,Desserts, Ice Cream,,,,,,,,,,,
,Cafe, North Indian, Chinese, Continental,,,,,,,,,
,Cafe, Continental, Italian, Chinese, North Indian,,,,,,,,
,Cafe, Continental, Italian,,,,,,,,,,
,Cafe, Continental, North Indian, Chinese, Mexican,,,,,,,,
,Hyderabadi, Biryani, North Indian,,,,,,,,,,
,Cafe, Fast Food, Italian, Chinese,,,,,,,,,
,Cafe, Italian, Chinese, Continental,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Continental, Italian,,,,,,,,,,,
,Mexican,,,,,,,,,,,,
,North Indian, Continental,,,,,,,,,,,
,North Indian, Chinese, Mughlai,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Beverages,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Bakery, Mithai,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,Turkish,,,,,,,,,,,,
,Pizza,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Asian, Chinese, Thai, Japanese,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Korean, Beverages, Desserts,,,,,,,,,,
,Pizza, Italian,,,,,,,,,,,
,Mediterranean, American, Asian,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Beverages,,,,,,,,,,,,
,Bakery, Desserts, Fast Food,,,,,,,,,,
,Healthy Food, Salad,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Lebanese, Arabian, Moroccan,,,,,,,,,,
,Italian, Mexican, Spanish, Thai, Vietnamese, Indonesian, American,,,,,,
,Desserts,,,,,,,,,,,,
,Cafe, Continental, Italian,,,,,,,,,,
,Desserts, Ice Cream,,,,,,,,,,,
,Desserts, Beverages,,,,,,,,,,,
,Ice Cream, Desserts,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,North Indian, Fast Food, South Indian,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian, Chinese, Fast Food,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Ice Cream,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,North Indian, Chinese, South Indian,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Ice Cream, Desserts,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,South Indian, Fast Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food, Chinese,,,,,,,,,,,
,North Indian, Chinese, Street Food,,,,,,,,,,
,Chinese, South Indian,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,South Indian, Fast Food, Chinese,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Street Food, Fast Food,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Chinese, South Indian, Bakery,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Mithai, Fast Food,,,,,,,,,,,
,Bakery, Mithai,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Mithai, Fast Food,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Mithai, Fast Food,,,,,,,,,,,
,North Indian, Chinese, South Indian,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Chinese, Street Food,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,South Indian, Chinese,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Chinese, Fast Food, North Indian,,,,,,,,,,
,North Indian, Street Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,South Indian, Chinese,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,North Indian, South Indian,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Street Food, Chinese,,,,,,,,,,,
,Fast Food, Pizza,,,,,,,,,,,
,Pizza,,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,Raw Meats, Fast Food, North Indian,,,,,,,,,,
,Fast Food, South Indian,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Pizza, Burger, Fast Food,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Tea,,,,,,,,,,,,
,Italian, Pizza, Bakery,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Cafe, North Indian, Chinese, South Indian,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Asian, North Indian,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Hyderabadi, North Indian,,,,,,,,,,,
,Cafe, Continental, Chinese, Italian,,,,,,,,,
,North Indian, Continental, Salad,,,,,,,,,,
,North Indian, Italian, Continental,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Ice Cream,,,,,,,,,,,,
,Desserts, Bakery,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian, Fast Food,,,,,,,,,,,
,Asian, Chinese, Thai, Vietnamese,,,,,,,,,
,Biryani, Mughlai,,,,,,,,,,,
,Cafe, Continental, Italian,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Cafe, Continental, Italian,,,,,,,,,,
,Cafe, Continental, Italian, Mexican,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Cafe, Bakery, Italian,,,,,,,,,,
,South Indian, Fast Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Desserts, North Indian,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Pizza,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Pizza, Ice Cream,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Chinese, Fast Food,,,,,,,,,,
,North Indian, Fast Food,,,,,,,,,,,
,South Indian, Chinese,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Ice Cream,,,,,,,,,,,,
,North Indian, Chinese, Fast Food,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Ice Cream, Desserts,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Beverages,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,South Indian, Chinese,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Street Food, Chinese,,,,,,,,,,
,Fast Food, North Indian,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, South Indian, Chinese,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Bakery, Desserts, Chinese, Fast Food,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Fast Food, Beverages,,,,,,,,,,,
,American, Fast Food, Salad, Healthy Food,,,,,,,,,
,Fast Food, North Indian,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Fast Food, Burger,,,,,,,,,,,
,Street Food, North Indian,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Desserts, Ice Cream,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Mughlai, Fast Food,,,,,,,,,,,
,Desserts,,,,,,,,,,,,
,Pizza,,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,North Indian, Awadhi,,,,,,,,,,,
,South Indian, Chinese,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Ice Cream, Desserts,,,,,,,,,,,
,Desserts, Beverages,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Bakery, Chinese, Fast Food,,,,,,,,,,
,Pizza, Salad, Finger Food,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Seafood, Italian,,,,,,,,,,,
,Tea, Cafe,,,,,,,,,,,
,North Indian, Continental, European, Chinese, Thai,,,,,,,,
,Cafe,,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,Afghani, North Indian, Pakistani, Arabian,,,,,,,,,
,Cafe,,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,North Indian, Continental, Asian,,,,,,,,,,
,Chinese, Thai, Japanese,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food, Burger,,,,,,,,,,,
,Continental, North Indian, Italian,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,American, Fast Food, Salad, Healthy Food,,,,,,,,,
,Street Food, Beverages,,,,,,,,,,,
,North Indian, Italian, Fast Food,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Chinese, Fast Food, North Indian,,,,,,,,,,
,North Indian, Mithai,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Raw Meats, Fast Food,,,,,,,,,,,
,Beverages,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,Ice Cream,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Chinese, Japanese,,,,,,,,,,,
,Biryani, Mughlai, Bengali, North Indian,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Chinese, Mughlai,,,,,,,,,,
,Fast Food, Burger,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Asian, Chinese, Thai, Malaysian, Indonesian, Burmese,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Bakery, Desserts, Healthy Food,,,,,,,,,,
,North Indian, Chinese, Continental,,,,,,,,,,
,Raw Meats, Fast Food,,,,,,,,,,,
,Biryani, Mughlai,,,,,,,,,,,
,North Indian, Chinese, Italian,,,,,,,,,,
,Cafe, Italian,,,,,,,,,,,
,North Indian, Chinese, Finger Food,,,,,,,,,,
,Continental, Italian, North Indian,,,,,,,,,,
,Pizza,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Desserts,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian, Mughlai, Chinese,,,,,,,,,,
,Chinese, Continental, Thai,,,,,,,,,,
,North Indian, Chinese, Continental,,,,,,,,,,
,Italian, Pizza, Fast Food,,,,,,,,,,
,North Indian, Chinese, Continental,,,,,,,,,,
,North Indian, Fast Food,,,,,,,,,,,
,Mithai, Chinese,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Fast Food, Italian,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Street Food, Chinese,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,North Indian, Fast Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Beverages, Fast Food,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Raw Meats, North Indian,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese, South Indian,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Ice Cream,,,,,,,,,,,,
,Cafe, Fast Food, Bakery,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Mithai,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,Street Food,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Raw Meats, Fast Food,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Biryani,,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,South Indian, Street Food, Mithai,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian, South Indian, Chinese, Street Food, Fast Food, Mithai, Desserts,,,,,,
,Continental, European,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Bakery, Fast Food,,,,,,,,,,,
,European,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Continental, North Indian, European, Asian,,,,,,,,,
,Beverages,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Pizza, Italian,,,,,,,,,,,
,North Indian, Fast Food,,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Fast Food, Bakery,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,North Indian, Continental, Lebanese,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Biryani,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Chinese,,,,,,,,,,,
,Pizza, Fast Food,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Ice Cream,,,,,,,,,,,,
,Chinese, Fast Food,,,,,,,,,,,
,Chinese, North Indian,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Mughlai,,,,,,,,,,,,
,Mughlai, North Indian,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,South Indian,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Italian, Continental, Finger Food,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Continental, North Indian, South Indian, Italian,,,,,,,,,
,North Indian, European,,,,,,,,,,,
,Burger, Fast Food,,,,,,,,,,,
,Italian, Pizza, Fast Food,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Continental, North Indian, Chinese,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Mediterranean, Italian,,,,,,,,,,,
,Cafe, American, Tea,,,,,,,,,,
,Continental,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,European, Continental,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Spanish, Italian,,,,,,,,,,,
,American, Finger Food,,,,,,,,,,,
,North Indian, Continental, Asian,,,,,,,,,,
,Finger Food, European,,,,,,,,,,,
,European, Continental,,,,,,,,,,,
,Finger Food,,,,,,,,,,,,
,North Indian, Chinese, South Indian, Italian,,,,,,,,,
,North Indian,,,,,,,,,,,,
,Desserts, Bakery,,,,,,,,,,,
,Italian,,,,,,,,,,,,
,European, Desserts,,,,,,,,,,,
,Malaysian, Thai, Kerala, Vietnamese, Sri Lankan,,,,,,,,
,Chinese, Thai, Asian,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,Bakery, Desserts, Fast Food,,,,,,,,,,
,Cafe, Fast Food,,,,,,,,,,,
,Chinese, Cafe,,,,,,,,,,,
,South Indian, North Indian, Chinese,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,American, Fast Food, Salad, Healthy Food,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Continental,,,,,,,,,,,,
,Finger Food,,,,,,,,,,,,
,Continental, North Indian, Italian, Asian,,,,,,,,,
,Mughlai, North Indian, South Indian,,,,,,,,,,
,Finger Food,,,,,,,,,,,,
,Chinese, Seafood,,,,,,,,,,,
,North Indian, Italian,,,,,,,,,,,
,Finger Food,,,,,,,,,,,,
,Thai,,,,,,,,,,,,
,North Indian,,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
,French, Italian,,,,,,,,,,,
,Japanese, Sushi,,,,,,,,,,,
,Italian, Continental,,,,,,,,,,,
,Cafe, Continental,,,,,,,,,,,
,Bakery, Desserts,,,,,,,,,,,
,North Indian, Continental, Italian,,,,,,,,,,
,Mughlai, Italian, Finger Food, Middle Eastern,,,,,,,,,
,Continental, Italian, American, North Indian,,,,,,,,,
,Continental, Italian, Mediterranean,,,,,,,,,,
,Finger Food,,,,,,,,,,,,
,Cafe, Bakery,,,,,,,,,,,
,Finger Food, Continental, Italian, Chinese,,,,,,,,,
,Thai, Chinese, Japanese,,,,,,,,,,
,Mediterranean, European,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,North Indian, European, Continental,,,,,,,,,,
,Malaysian, Thai,,,,,,,,,,,
,Japanese, Sushi,,,,,,,,,,,
,Chinese,,,,,,,,,,,,
,Seafood, North Indian,,,,,,,,,,,
,North Indian, European, Asian,,,,,,,,,,
,Asian,,,,,,,,,,,,
,European,,,,,,,,,,,,
,Cafe,,,,,,,,,,,,
,Continental, Thai, Chinese, North Indian,,,,,,,,,
,North Indian, Asian, Continental,,,,,,,,,,
,Bakery,,,,,,,,,,,,
,Chinese, Thai,,,,,,,,,,,
,European, American,,,,,,,,,,,
,Mexican,,,,,,,,,,,,
,Fast Food,,,,,,,,,,,,
,Mithai, Street Food,,,,,,,,,,,
,Street Food, Desserts,,,,,,,,,,,
,North Indian, Mughlai,,,,,,,,,,,
