Restaurant Name,is chain,Aggregate rating,Votes
Juste Miam,No,3.9,94
Patiala Shahi,Yes,3.5,118
The Kathis,Yes,3.8,48
Wai Yu Mun Ching,Yes,3.6,321
Bernardo's,No,4,429
Biryani Art,Yes,4.1,344
Nosh,No,4.1,103
Tandoor Express,No,4.2,67
Tandoori KnockOuts,No,4.2,112
Udaipuri,No,4,157
Begonia,No,3,8
Cakes & Muffins,No,3.3,21
Halki Aanch,Yes,2.7,39
Hungry Gopal,No,3.2,27
Kuzo,No,3.2,10
Lovecrumbs Bakery,No,3.4,16
Organic Express,Yes,3.4,20
Pizza Hut,Yes,2.8,80
Roti Te Boti,No,2.8,42
Behrouz Biryani,Yes,3.7,49
Caf?? Burger BC,No,3.7,65
Dilli Darbar,Yes,3.7,52
Fu.D,No,3.7,58
Jarfull,No,3.7,25
Mochamania,No,3.7,50
Mukhtalif Biryanis,No,3.7,125
Mummy's Kitchen,No,3.5,26
Ovenstory Pizza,Yes,3.7,23
The Godinho's,No,3.8,23
Kujay's Spoon,No,0,1
Lily Food's,No,0,0
Mutton Mewar,No,0,1
Tasty But Healthy,No,0,3
Teddy Choco Studio,No,0,2
Chin Chow,No,2.4,38
Cafe Sante,No,4.3,62
Mughal Dine-Esty,No,4,32
Nuterro,No,4,101
Sandburg Shakes,No,4,34
The Millionaire Express,No,4,53
Ammu's South Indian Restaurant,Yes,3.1,10
Elma's Delivers,No,3.1,5
Faasos,Yes,3.2,12
Foodrath,No,3,4
Hyderabad House,Yes,2.7,7
Kake Da Hotel,Yes,3.1,35
Mitraao,No,3.4,117
PomoDoro Bistro,No,3.4,67
Shri Shyam Ji Ke Mashhoor Chhole Bhature,No,3.3,26
Spice Aangan Express,No,3,33
Subway,Yes,3.3,59
Swaad Ka Khazana,No,2.6,11
The Toddy Shop,No,3.4,21
Truffles,Yes,3.2,15
Cafe Bonkerz,No,3.6,41
Wrapchick,No,3.9,67
WoW - Vada Pav & More,No,2.2,41
Me Kong Bowl,No,4,27
Palmyra - The Bristol Hotel,No,3.3,57
Shanghai Bar & Lounge - The Bristol Hotel,No,3,17
Zaffran - The Bristol Hotel,No,3.2,52
Zaffran - The Claremont,No,3,4
Clove - The Galgotias,No,2.7,19
Green Leaf,Yes,3,6
Tokyo,No,3,10
Cigar Lounge - The Oberoi,No,3.2,17
Melange - The Pllazio Hotel,No,3.6,94
Qureshi's Kabab Corner,Yes,3.3,96
EEST - The Westin Gurgaon,No,3.9,272
Prego - The Westin Gurgaon,No,3.8,390
Seasonal Tastes - The Westin Gurgaon,No,3.9,394
Xiao Chi - The Westin Sohna Resort & Spa,No,3.4,22
The Living Room - The Westin Sohna Resort & Spa,No,3.7,45
The Bar - Trident Gurgaon,No,3.3,36
Konomi - Trident Gurgaon,No,3.5,27
L'Opera,Yes,3.7,16
Town Hall,Yes,3.5,13
Whisky Samba,No,3.8,127
Chokola,Yes,3.1,6
Citrus Cafe - Lemon Tree Hotel,No,2.7,27
Green Hut,No,2.8,23
My Plate,No,3.1,6
PiccoLicko,No,3.3,12
Pind Balluchi,Yes,2.7,7
Raj Xpresso,No,2.9,13
Riders Hub,No,3.1,11
Shivani Catering Services,No,3.1,17
The Diet Kitchen,Yes,3.3,7
The Gr8 Taste of India,No,3,10
World Art Cafe,No,3.3,10
XLNC Bakers,No,2.9,4
Adventure Food,No,0,0
Baba Da Dhaba,No,0,0
Bandhani Fast Food,No,0,0
Bhai Ji Dhaba,No,0,0
Bikaner Sweets,Yes,0,2
Cafe Coffee Day,Yes,0,0
Cake 24x7,Yes,0,2
Chaayos,Yes,0,3
Chauhan Hotel,Yes,0,0
Costa Coffee,Yes,0,2
Dheeraj Vaishno Dhaba,No,0,0
Domino's Pizza,Yes,0,3
Food Ka Adda,No,0,3
iKitchen,No,0,2
Knights Kitchen,No,0,0
Ku-Kukdu-Ku,No,0,0
Mogambo Kitchen,Yes,0,0
Noore-e-Seva,No,0,0
Premier Bite,No,0,1
Renu Sweets & Restaurant,No,0,0
Street Foods by Punjab Grill,Yes,0,1
Tpot,Yes,0,1
Uttrakhand Bohra Bhojnalaya & Fast Food,No,0,0
Uttrakhand Dhaba,No,0,0
Tea Halt,Yes,3.1,82
Dunkin' Donuts,Yes,3.5,302
Indian Bistro Company,No,3.7,276
Department of Food and Social Affair,No,0,0
Tpot,Yes,0,3
Anaaj,No,2.9,7
Au Bon Pain,Yes,2.8,8
Cafe Coffee Day,Yes,3.1,10
Cafe Friends,No,3.2,31
Chinese Bistro,No,2.9,5
Dunkin' Donuts,Yes,3.4,87
Madras Coffee House,Yes,3,4
McDonald's,Yes,3.3,35
Nukkadwala,Yes,3.2,25
Salad Chef,No,3.2,44
Subway,Yes,3.3,27
Tea Halt,Yes,2.7,14
The Kachori Co.,No,2.5,11
Urban Dhaba,Yes,3.2,11
A Piece of Paris,Yes,3.9,43
Chaayos,Yes,3.8,127
Doughlicious,Yes,3.6,60
Eggers Madhouse,Yes,3.7,51
Live Wok,No,3.6,45
Orange Chopsticks,No,3.5,200
Pizzoccheri,No,3.6,76
Creamy Innovation,No,0,0
Dosa Republic,No,0,1
Giani's,Yes,0,2
Chai Point,Yes,2.4,49
Latitude - Vivanta By Taj,No,3.8,305
Thai Pavilion - Vivanta By Taj,No,4,219
3H Kitchen,No,2.9,15
Manish Sweets & Bakers,No,2.8,5
Oasis Kitchen,No,2.9,6
Ramchandra Chinese Food,No,2.7,10
Sona Chinese,No,2.8,14
The Pastry Hut,No,2.9,13
Aggarwal Sweets & Restaurant,Yes,0,0
Bhoomika,No,2.9,6
FoodZilla,No,3.3,153
Goli Vada Pav No. 1,Yes,3.4,151
Indo Chinese,No,3.2,12
Kathi Junction,Yes,3,89
Romi da Dhaba,Yes,3.1,122
Shamji Snacks,No,2.7,83
The Lunch Break,No,2.9,7
Veg O Non,No,3.1,21
Alwar Sweets,No,3.5,66
Bakers Oven,Yes,3.6,69
Burgzz Bee,No,3.6,60
Chinese Corner,Yes,3.6,369
Iroha,No,3.7,63
Chaudhary Burfi Wala,No,0,2
Curry 'n' Phulka,No,2.4,83
Wah Ji Wah,Yes,2.2,142
Woods Spice,No,3.2,36
Mocha,Yes,4.6,394
Terra Mayaa Restaurant and Lounge,No,3.9,360
The Basement Caf??,No,4.7,126
Strawberry Fields,No,4.1,290
Brooklyn Blues,No,4.2,110
Confucius,No,4.1,304
The Woking Mama,No,4.4,129
Underdoggs Sports Bar & Grill,Yes,4.4,222
The Zouq : Resto-Cafe,No,4.1,124
BrewBakes,No,4,28
Barbeque Nation,Yes,4.9,774
Yo! China,Yes,3.6,327
4 Seasons,No,3.6,142
11th Avenue Cafe Bistro,No,4.1,377
Caf?? Riverrun,No,4.2,99
Fat Belly,No,4.1,25
The Corner Cafe,No,4.1,179
Chung Fa,No,4.3,369
Shanghai Salsa,No,4,256
Three Guys,No,4.3,233
Ziya,No,4.3,96
Exotica,No,4.3,3374
AB's - Absolute Barbecues,Yes,4.9,200
Chili's,Yes,4.7,1932
The Fisherman's Wharf,Yes,3.8,144
Chili's,Yes,4.6,2553
Pine & Dine,No,4,682
Jonathan's Kitchen - Holiday Inn Express & Suites,No,4.3,860
AB's - Absolute Barbecues,Yes,4.9,5434
Con?_u,No,4.8,1023
Dock Forty Five,No,4.2,79
Mocha Bar,No,4.2,221
Olive Bistro,Yes,4.4,2218
Prost Brew Pub,No,4.1,594
United Kitchens of India,No,4.1,1431
Heart Cup Coffee,No,4.2,1859
Churrolto,No,4.7,344
The Grand Trunk Road,No,3.9,616
Sahib??s Barbeque by Ohri??s,No,4.1,571
KYRO,No,3.7,238
JAL - A Jungle Restaurant,No,4.1,100
Oye24,No,4.1,152
Hobnob Gourmet Caf??bar,No,4.1,37
Mangosteen Cafe,No,3.9,430
Mama Loca,No,4.2,304
Vidorra,No,4,404
Cafe Palette,No,3.8,214
Nafees Restaurant,No,4,496
The Creative Kitchen - Radisson Blu Hotel,No,3.8,209
Square - Sayaji Hotel,No,4.3,334
Freito,No,3.1,26
Cafe Terazza,No,3.9,502
Cafe Yolo,No,3.8,69
Just My Bakes,No,3.9,69
10 Downing Street,Yes,4,413
Cakesmith's Alley,No,4.3,87
The Yellow Chilli,Yes,4.1,181
Waffle House,No,4.3,171
Mocha,Yes,4,341
Tapri Central,No,4.7,1469
Blackout,No,3.9,676
Mamu's Infusion,No,4,582
Nibs Cafe,No,4.4,389
On The House,No,4.4,843
WTF,No,4,212
Chokhi Dhani,No,4.3,1478
Meraaki Kitchen,No,3.9,67
Taruveda Bistro,No,4.2,633
The Forresta Kitchen & Bar,No,4,916
Monarch Restaurant - Holiday Inn Jaipur City Centre,No,4.5,420
Chao Chinese Bistro - Holiday Inn Jaipur City Centre,No,4.3,308
Zolocrust - Hotel Clarks Amer,No,4.9,322
Mutual's,No,4.2,198
O2- The Plant Cafe,No,4.1,148
Cafe LazyMojo,No,4.3,798
Replay,No,4.3,1121
Sky Beach,No,2.6,46
Decked Up By Garden Cafe,No,3.9,310
Calzone- Dine & Rooftop Lounge,No,3.7,112
Hucka,No,3.3,148
The Zaffran,No,3.3,51
Gyan Vaishnav,No,3.9,97
Liquid,Yes,4,24
Royal Dine - Hotel Royal Cliff,No,4,54
Urban Crave Express,No,3.5,43
Atmosphere Grill Cafe Sheesha,No,3.6,34
Mr Brown,No,3.9,97
Dunkin Donuts,Yes,4.1,87
Little Chef,Yes,4.1,158
UrbanCrave,No,3.9,127
Chin Mi,No,3.9,86
Tadka,No,3.8,97
Dhuaan,No,4.3,155
Upper Crust,No,3.4,49
Anaicha's Food Joint,No,3.6,106
Aromas,No,4.1,171
Waterside - The Landmark Hotel,No,3.9,113
Verandah,No,3.7,160
Barbeque Nation,Yes,4,41
Nawras Seafood Restaurant,No,4.6,289
Ifthar,No,3.8,281
Dhe Puttu,No,4.4,662
Kashi Art Cafe,No,4.2,659
Grand Hotel Restaurant,No,4.2,394
Barbeque Nation,Yes,4.5,213
Chiyang,No,3.7,277
Slice of Spice,No,4,246
Mustake Multicuisine Restaurant,No,3.7,145
Palaaram,No,3.7,105
Tonico Cafe,No,4,406
Cafe 17,No,4.4,333
ChaiCofi,No,4,160
Bloomsbury's Boutique Cafe and Artisan Bakery,No,4.2,482
Paragon,No,4.3,722
Aangan - Downtown Multicuisine Restaurant,No,4.2,146
Ali Baba & 41 Dishes,No,3.5,348
Cocoa Tree,No,4.3,658
French Toast,No,4.3,312
Thakkaaram,No,3.6,361
Asia Kitchen by Mainland China,No,4.6,945
Hoppipola,No,4.2,1103
Spice Kraft,No,4.8,1424
Nawwarah,No,3.9,326
6 Ballygunge Place,No,4.4,1778
Mumbai Local,No,4.2,704
Gabbar's Bar & Kitchen,No,4.4,1484
TGI Friday's,Yes,4,911
Santa's Fantasea,No,4.2,2584
India Restaurant,No,4.6,1219
Flame & Grill,No,3.9,1064
Barbeque Nation,Yes,4.9,1753
Mocambo,No,3.5,4464
BarBQ,No,4.2,5288
Peter Cat,No,4.3,7574
The Irish House,No,4.4,2224
Barbeque Nation,Yes,4.9,5966
Ocean Grill,No,3.6,1040
Sigree Global Grill,No,4.1,1616
What's Up,No,4,1126
Grandson of Tunday Kababi,No,4.9,1057
Frozen Factory,Yes,4.5,144
Mocha,Yes,4.6,567
Chemistry Caf??,No,3.5,147
Homeys Cafe,No,3.9,217
Percussion,No,3.7,514
The Urban Terrace,No,3.9,268
Free Spirit,No,4.3,106
Spice Caves,No,4.2,691
The Chocolate Heaven,No,4.1,165
The Pebbles Bistro,No,4.1,80
Underdoggs Sports Bar & Grill,Yes,4.3,124
Vintage Machine,No,4.3,887
Bar Bar,No,4,79
Dastarkhwan,No,4.4,818
The Cherry Tree Cafe,No,4.1,288
Royal Sky,No,4.2,762
L 14 - Renaissance Lucknow Hotel,No,4.2,149
Barbeque Nation,Yes,4.7,1069
Colours by Royal Cafe - Royal Inn,No,4.2,411
Cappuccino Blast,No,4,587
Basant Restaurant,No,3.6,93
Hawai Adda,No,3.5,17
Indian Summer,No,4.1,191
Basant,No,3.9,109
Bistro 226,No,4.2,217
Mocha,Yes,3.7,153
Pirates Of Grill,Yes,3.9,41
Bistro Flamme Bois,No,4.1,178
Kitchen At 95 - Hyatt Regency,No,4.3,87
Domino's Pizza,Yes,3.6,86
Nando's,Yes,3.8,156
Belfrance Luxury Chocolates,No,4.4,138
Hot Breads,No,4.2,261
The Yellow Chilli,Yes,4.4,325
Spice Cube,No,3.5,116
Barbeque Nation,Yes,3.9,80
Nik Bakers,No,4.2,210
Aman Chicken,No,4.6,196
District 6,No,3.8,53
The BrewMaster - The Mix Fine Dine,No,3.9,154
#45,No,3.6,209
Crave Desserts & Bakes,No,3.9,196
Diesel Cafe,No,3.8,196
Froth On Top,No,3.7,355
Hao Ming,No,3.5,280
Kobe Sizzlers,No,3.7,104
Liquid Lounge,No,3.8,290
Maharaja Restaurant,No,3.6,275
Giri Manja's,No,4.2,281
Kabab Studio,No,3.5,183
Brio Cafe and Grill,No,3.6,84
Gajalee Sea Food,No,3.9,257
Smoke N Oven,No,3.5,127
Village Restaurant,No,3.7,260
Barbeque Nation,Yes,3.7,193
Machali,No,4.1,245
Punjab Da Pind,No,3.7,173
Sizzler's Ranch,No,3.8,328
Spindrift,No,3.9,156
Sagar Ratna,Yes,3.7,175
The Shooters Cafe,No,4.3,99
Joey's Pizza,Yes,4,5145
Cafe Hydro,No,4,156
The American Joint,No,3.4,170
The Fusion Kitchen,No,4.7,2083
145 Kala Ghoda,No,4.2,1606
Tea Villa Cafe,Yes,4.1,2040
Grandmama's Cafe,No,3.8,617
Mumbai Vibe,No,3.8,146
The Rolling Pin,No,3.9,2076
Farzi Cafe,Yes,4.3,1240
SpiceKlub,Yes,4.2,3370
Tea Villa Cafe,Yes,3.9,317
Joey's Pizza,Yes,4.5,2662
Stacks And Racks,No,4.6,413
The English Department Bar & Diner,No,3.9,885
Mirchi And Mime,No,4.9,3244
38 Degree East,No,3.8,181
R' ADDA,No,4,536
Tea Villa Cafe,Yes,4.1,1295
Tea Villa Cafe,Yes,3.6,1515
Hotel RRR Mysore,No,3.4,139
Jalpaan Dining Saga,No,3.7,172
The Old House,No,3.9,264
Vinayaka Mylari,No,4.2,392
Empire Restaurant,No,3.7,393
Green Leaf,Yes,3.5,214
Pakva Lounge,No,3.7,262
Spring - Radisson Blu Plaza,No,3.8,162
Big Chicken,No,3.5,160
Barbeque Nation,Yes,4,286
Pizza Hut,Yes,4,304
Tandooriwala,No,3.5,127
Jungle The Restaurant,No,3.7,132
The Barge Restaurant,No,3.3,11
By The Way,No,3.6,190
Cafe Cornucopia,No,3.6,140
Mezzaluna,No,3.8,249
Nanking,Yes,3.7,208
Oyster Bay,No,3.6,270
Purple Haze,No,3.7,183
House of Caffeine,No,3.3,27
Hide Out The Street Cafe,No,3.8,73
Tapri The Chai Books Cafe,No,3.9,26
Eat Street Express,No,4,103
Zaikart,No,4.3,88
Cafe Zinea,No,3.7,201
Checker's,No,4,185
The B.A.W.A,No,4.2,164
FSB,No,4.3,270
NESCAF? Illusions,No,3.9,140
Nineties,No,3.9,19
Mocha,Yes,4,284
The Zuree Urban Kitchen,No,4.4,257
The Breakfast Story,No,4.5,520
Ten Downing Street Restaurant & Bar,No,4,306
Ashoka Restaurant,Yes,4.2,275
Barbeque Nation,Yes,4.9,226
KFC,Yes,2.2,147
Moksh The Restro Lounge,No,4,100
Mainland China,Yes,3.8,45
Divtya Budhlya Wada Restaurant,No,3.8,76
Spice Route,Yes,3.6,91
Veg Aroma,No,3.6,125
Eastern Spice,No,3.5,140
The Bake Studio,Yes,3.6,86
Barbeque Nation,Yes,3.8,117
Chai Tapri,No,3.4,86
Curry Leaves,No,3.4,162
Enter The Dragon,No,3.4,177
The Cafe Katta,No,3.3,15
White X Sky Lounge,No,3.4,24
12212,No,3.5,80
Al Arabian Express,No,3.7,162
RiverDine Restaurant & Bar,No,3.5,166
Barbeque Ville,Yes,3.8,164
Little Italy,Yes,3,25
Soma at Sula,No,3.3,33
Hotel Radhakrishna,No,3.5,77
Sadhana Restaurant,No,3.9,218
House Of Flavours,No,3.4,71
Food Cloud,No,0,2
Burger.in,No,3.2,46
Days of the Raj,No,3.4,45
Dilli Ka Dhaba,No,2.6,11
Govardhan,No,3.4,238
Mezbaan Grills,No,3.1,8
Say Cheese,Yes,2.7,64
Southy,Yes,2.6,113
Monosoz,No,3.7,66
Waves,No,3.5,141
Delhi Darbar,No,2.2,77
Chateau,No,4,40
Nariyal Cafe,No,4.2,46
Rustom's Parsi Bhonu,No,4.2,665
BarShala,Yes,3.2,31
Chawla's?_,Yes,3.4,32
Domino's Pizza,Yes,2.8,83
Sultanat,No,3.7,288
Bella Italia,No,3.2,33
Clever Fox Cafe,Yes,3.2,26
365 Naturals,No,0,2
Tpot,Yes,0,0
4 on 44 Restaurant & Bar,No,2.6,49
Rambhog,No,3.3,13
Selfie Lounge Restro & Bar,No,3.2,64
BTW,Yes,3.4,167
Chilli Pepper,No,3.3,99
Pizza Hut,Yes,2.6,125
Puri Bakers,Yes,3.7,124
Jaiveer Naan & Chaap,Yes,2.2,79
Aggarwal's Sweets Paradise,Yes,2.9,8
Bikaner Sweets,Yes,3.3,20
Cafe Coffee Day,Yes,3.2,23
Cakeophony By Sonali,No,3.4,19
Chandra Sweets,No,3,7
Chhotu Mashhoor Kathi Roll,No,2.7,11
Green Chick Chop,Yes,3.2,35
Lazeez Restaurant,Yes,3,11
Madhuvan Chinese Fast Food,Yes,2.5,32
Mr Wong,No,3.2,10
Mughlai Shahi Rasoi,No,3.2,23
Mumbai Central Street Food,No,3.1,7
Neha's Treat,No,2.9,42
New Bakers Shoppee,No,3.2,21
Pant  Ice Cream Parlour,No,3.3,16
PM 2 AM Food Bank,No,2.5,37
Punjabi Chaap Corner,Yes,2.9,4
Sartaj Food Corner,No,2.8,7
The Sugar Therapy,No,3.4,22
Biryani Binge,No,3.9,97
City of Joy,No,3.9,452
Letz Roll,No,3.6,14
Nukkad,No,3.6,82
#InstaFreeze,No,0,2
Aahar Meat and Chicken Shop,No,0,0
Food Cafe,No,0,0
Lazeez Restaurant,Yes,0,1
Lemon Chick,No,0,2
Punjabi Chaap Corner,Yes,0,0
Purani Dilli Foods,No,0,1
Tandoori Kebab,No,0,0
Shree Rathnam,Yes,2.4,31
Alaturka,Yes,2.5,100
Amici Gourmet Pizza,No,3.1,230
Burger King,Yes,3.2,458
Kylin Express,No,2.6,176
Big Fat Sandwich,Yes,3.5,232
Fashion Tv Cafe,No,3.6,27
Kylin Skybar,No,3.6,210
Lemon Drops,No,3.9,44
Punjabi By Nature Express,No,3.5,206
Red Mango,Yes,3.7,185
Starbucks,Yes,3.7,256
Peninsular Kitchen,No,4.2,336
Mithapur,No,3.4,280
Diggin,No,4.2,2131
Aggarwal Sweet India,Yes,2.8,13
Banzara's,No,3.1,38
Bobby Tikki Wala,Yes,2.8,69
Chennai Junction,No,3.3,11
Chicken Bite,No,3.1,6
Chocolate Dreams,No,3,4
Dial n Dine,No,3.4,80
Fresh n Refresh,Yes,3.4,24
Garden Hut,Yes,3.1,13
Giani,Yes,3.3,12
Jugnu Gaming Zone and Cafe,No,2.9,4
Keventer's South Indian & Chinese Food,No,2.8,9
KTS,No,3.3,18
Mandarin,No,2.8,14
Penguin Bakers & Shakers,No,2.8,9
Rollmates,No,3.2,16
Tandoori Nights,No,3,5
Burger Dominion,No,3.6,251
Cafe Gainz,No,3.5,42
Chaskaa,No,3.5,220
Fabulous Cake Bites,Yes,3.6,34
Hangout - A House Of Kathis,No,3.7,103
Malais By Anands,No,3.7,46
Panchwati Rasoi,No,3.8,62
Sprinkles Cup & Cake,No,3.6,42
Target Ice Cream & Bakers,No,3.6,58
The Sweeet Jar,No,3.9,106
Amar Bakery,Yes,0,0
Cafe Brewbug,No,0,1
Chilll House Kafe,No,0,1
Cookie Shookie,No,0,0
Fabulous Cake,No,0,0
Jai Maa Shaarde Samose Wala,No,0,0
Madaan Confectionery,No,0,0
Magic Masala,Yes,0,1
Sikka Chinese Fast Food,No,0,0
Teedo's Cake Inn,No,0,0
Thalaiva Cafe,No,0,2
The Cake Affairs,No,0,0
Tulsi Ram Chinese Hut,No,0,0
V. K. Pasta,No,0,0
Xpert Bakers,No,0,0
Juniper Bar - Andaz Delhi,No,3,4
McDonald's,Yes,3.4,48
Pizza Hut Delivery,Yes,3.2,51
The Arena,No,3.4,19
Restaurant De Seoul,No,3.6,59
Taksim,No,3.9,188
Jom Jom Malay,No,4.4,77
Kofuku,No,4,46
The Sky High,No,4.1,387
Haldiram's,Yes,3.1,117
Jux Pux - The Dreamer's Cafe,No,3.1,7
Pizzaon,No,3,10
FFC Restaurant,No,0,1
"34, Chowringhee Lane",Yes,2.8,7
Aapni Dhani,No,2.8,23
Bengal Sweet Corner,Yes,2.8,102
Chicken Vicken,No,3.4,19
Cup-a-licious,No,3.2,15
Frontier,Yes,3,10
Metro Fast Food,Yes,2.7,17
Nagpal's,Yes,3.4,135
Nile Restro & Bar,No,2.7,35
Popular Chicken,No,3,5
Sardar A Pure Meat Shop,Yes,3.4,22
Shankar Fast Food,Yes,3.2,74
Singh's Zaika,No,3,4
The Mirch Masala,Yes,3,7
The Mirch Masala,Yes,3.2,22
Uncle Cake Shop,No,3.1,9
Kays Bar-Be-Que,No,3.5,191
Master Bakers,No,3.7,199
The Master's Fast Food Centre,No,3.5,60
6 Pack Momos,Yes,0,1
Al Noor Foods,No,0,0
Avon Kitchen,No,0,0
Bhasad Cafe,No,0,1
Bikaner Kesarvala,Yes,0,2
De Bone Chicken,No,0,0
Indian Fresh Meat Shop,No,0,1
JD's Food Court,No,0,3
Keventers,Yes,0,3
Malhotra Bakery,No,0,1
Matthi Wala,No,0,0
Nirula's Ice Cream,Yes,0,0
Punjabi Chaap Corner,Yes,0,1
Puran Dhaba,No,0,0
Rama Desi Ghee Meat Wala,No,0,0
VadaPav 'n' Frankie,Yes,0,0
Chhabra Sweets,No,2.4,15
Kanwarji's,Yes,2.9,29
Pizza Hut,Yes,3.4,35
Sagar Ratna,Yes,2.7,278
Smelling Salts,No,3.3,53
Wah Ji Wah,Yes,2.6,142
Wheelyz,Yes,2.5,41
Bell Pepperz,No,3.9,492
Bharat Sweets,Yes,3.5,28
Invitation,Yes,3.6,457
Mystique Melange,No,3.9,173
Pandit Ji Paranthe Wale,No,3.7,131
Raju Chat Palace,No,3.9,123
Seasonings - The Spice Mysteries,No,3.9,274
SGF - Spice Grill Flame,Yes,3.5,87
Apni Rasoi,Yes,3,78
Bablu Kabab Shop,No,3.1,10
Cake o' Cuisine,No,3.3,26
Domino's Pizza,Yes,3.2,101
Hunger Flames,No,3.4,17
Puran Chand Ambala Wale Di Hatti,No,3.3,34
The Cake Gallery,No,3.3,12
Bablu Chic Inn,No,3.6,34
Masala Basket,No,3.6,46
Udta Punjab,No,3.5,31
Munch Nation,Yes,4,96
Bengali Pastry Shop & Snack Bar,No,3.2,70
Bhimsain's Bengali Sweet House,Yes,3.4,560
Cafe Coffee Day,Yes,2.9,4
Colonel's Kababz,Yes,3.4,38
Faasos,Yes,2.8,11
Karachi Bakery,No,3,4
Nathu's Sweets,Yes,3.3,421
Sachdeva Confectioners,No,3.1,68
Bengali Sweet House,No,3.6,85
Bijoli Grill,Yes,3.7,343
Nathu's Pastry Shop,No,3.8,120
Balaji Dhaba,Yes,0,3
Bhagat Ji,No,0,2
Hangout Kathi Rolls,No,0,2
Makers & Bakers,No,0,0
Habibi Express,Yes,2.3,55
Cafe Coffee Day,Yes,3.2,49
China Town,Yes,2.9,7
Domino's Pizza,Yes,3.3,90
High Street Kitchen & Bar,No,2.9,11
Pizza Hut,Yes,3.1,161
Sugar & Spice - Le Marche,Yes,3,67
The Kathis,Yes,2.8,23
The Kylin Experience,No,3.3,60
Arabian Nites,Yes,3.5,239
Asia Kitchen,No,3.7,137
Dunkin' Donuts,Yes,3.7,212
Krips Restaurant,No,3.5,193
McDonald's,Yes,3.5,202
Yo! China,Yes,3.5,332
RPM,No,2.4,92
By The Way - Bellagio,No,2.9,120
Red - Bellagio,No,3.4,137
Soul Curry - Bellagio,No,3.6,158
Alpha 63,No,2.7,9
Bite-N-Sip,No,2.6,38
Lotus Garden,No,3.2,59
Meethas Sweets,No,2.8,4
Nirula's,Yes,2.5,98
Punjabi Tadka,Yes,2.8,11
Snack Bar,No,3,11
South Indian Food,No,3.1,14
Domino's Pizza,Yes,2.4,71
Southy,Yes,2.4,33
Coffee Shop - Centaur Hotel,No,0,2
Al Kuresh,No,3.3,85
Angan Bakery & Cafe,No,2.9,10
Bamboo Chopstix,No,2.7,8
Bawarchis,No,2.9,16
Bikanervala,Yes,3.4,113
Cafe Coffee Day,Yes,3,4
Chanakya Bar-Be-Que,No,3.2,17
Chattisgarh Bhawan,No,2.7,33
Chimney,Yes,2.9,66
China Town Sizzlers,No,3.4,34
Chinese Bite,No,2.8,31
Chinese Garden,No,3.2,17
Costa Coffee,Yes,3,4
Food Point,No,2.8,5
Ikko,No,2.9,10
Jammu And Kashmir House,No,2.9,4
Laguna,No,3.4,60
Momo Point,No,3.2,14
New Zaika,Yes,3.1,10
Organic Express,Yes,3,7
Tamil Nadu House Canteen,No,3.4,161
The Chocolate Avenue,No,3.4,28
Chimney Sizzlers,No,3.7,137
Gujarat Bhawan Restaurant,No,3.7,203
It??s Sinful,No,3.5,20
Jakoi,No,3.5,218
Arunachal Bhawan,No,0,0
Hotel New Tamil Nadu,No,0,1
Milan Food,No,0,2
Playboy Club,No,0,3
Moti Mahal Delux,Yes,2.4,164
The Treat,No,2.1,138
Break Fast Point,No,3.3,21
Breakfast Corner,No,3.1,6
Domino's Pizza,Yes,3,10
Frontier,Yes,3.2,10
Prince Cafe,No,2.9,6
Spicy Eleven,No,3.1,15
Vaishno Punjabi Dhaba,Yes,3,12
Adarsh Bhojnalaya,No,3.4,29
Al Haj Bakery,No,3,9
Anmol Chicken,No,3.1,4
Babu Ram Paranthe Wale,No,3.2,225
Bhaijaan Kababs,No,3.2,8
Bhikharam's,No,3,5
Bikanervala,Yes,2.8,42
Brijwasi Bhoj,No,3.1,16
Brijwasi Restaurant,Yes,3.2,39
Comesum,Yes,2.5,49
Inderpuri Restaurant,No,3,20
Kamdhenu Family Corner,No,2.8,4
Khalsa Hindu Hotel,No,2.9,5
Mahalaxmi Mishthan Bhandar,No,3.3,16
McDonald's,Yes,3,57
McDonald's,Yes,3,42
Natraj Cafe,No,3.4,21
Padam Chaat Corner,No,3,4
Pandit Ved Prakash Lemon Wale,No,3.2,11
Pt. Babu Ram Devi Dayal Paranthe Wale,No,3,53
Rabri Bhandar,No,3.2,7
Ram Parshad Makhan Lal,No,3.4,23
Rambhoj,No,2.9,4
Rehmatullah's Hotel,No,3,5
Sharma Bhojnalay,No,3,9
Shree Balaji Chaat Bhandar,No,3.2,16
Shri Duli Chand Naresh Gupta,No,3.4,18
Shri Hari Sharnam,No,3.1,14
Sindhi Chicken,No,2.9,7
Soni Bhojnalaya,No,3,4
Super Restaurant,No,2.9,5
Tiwari Ji Confectioner,No,3.1,5
Wah Ji Wah,Yes,2.8,59
Zaika Mughlai Foods,No,3.3,10
Al Yousuf,No,3.7,30
Amritsari Lassi Wala,No,3.8,112
Annapurna Bhandar,No,3.8,59
Bishan Swaroop Chaat Bhandar,No,3.7,40
Gole Hatti,No,3.8,116
Haldiram's,Yes,3.9,444
Kanwarji's,Yes,3.9,163
Kedarnath Prem Chand Halwai,No,3.7,19
Keventers,Yes,3.7,63
Khan Omelette Corner,No,3.6,43
Natraj Dahi Bhalle Wala,No,3.9,1487
Old Famous Jalebi Wala,No,3.9,752
Pt. Gaya Prasad Shiv Charan Paranthe Wale,No,3.6,437
