Restaurant Name,Price range,Has Table booking,Has Online delivery,Online Delivery by Price Range,Total Restaurants by Price Range,Percentage Offering Online Delivery,Percentage Offering table
K2 Restaurant,4,Yes,No,,,,
Angels in my Kitchen,1,No,Yes,,,,
Cafe Naklee,1,No,No,,,,
Chacha's Take Away,2,No,Yes,,,,
Colonel's Kababz,2,Yes,Yes,,,,
Naushi's Kitchenette,2,No,No,,,,
Sapra Pastry Treat,1,No,Yes,,,,
Sunny Sweets,1,No,No,,,,
The Healthy Rasoi,2,No,No,,,,
Hong Kong Express,2,No,Yes,,,,
Cafe Rouge - Ramada,3,Yes,No,,,,
Shamji Sweets,1,No,No,,,,
Sialkoti Vaishno Dhaba,1,No,No,,,,
Club Prison,3,No,No,,,,
Maa Bhagwati Tiffins,1,No,No,,,,
Spices & Sauces,3,Yes,No,,,,
Indian Food Cafe,2,No,No,,,,
Assam Tea Corner,1,No,No,,,,
Bakingo,1,No,No,,,,
Balaji Sweets & Snacks,1,No,No,,,,
Baxman Delivers,2,No,No,,,,
Burger Point,1,No,No,,,,
Cake Factory,1,No,Yes,,,,
Cake Maker,1,No,No,,,,
Captain's Table,1,No,No,,,,
Carpedium,1,No,No,,,,
Chef Sack Kitchen,2,No,No,,,,
Chinar Junction,2,No,No,,,,
Ganpati Rasoi,1,No,No,,,,
Indian & Chinese Corner,1,No,No,,,,
Juice Lounge,1,No,No,,,,
KB's Kulfi & Icecream,1,No,Yes,,,,
Madras Cafe,1,No,No,,,,
Madurai Meenakshi Bhawan,1,No,No,,,,
Masala Fusion,2,No,Yes,,,,
Moti Mahal Delux Tandoori Trail,2,Yes,No,,,,
Mr. & Mrs. Idly,1,No,No,,,,
Pind Bawarchi,2,No,Yes,,,,
Ridhi Sidhi,2,No,Yes,,,,
Romi Da Dhaba,1,No,No,,,,
Shamji Sweets,2,No,No,,,,
Six Pack Kitchen,2,No,No,,,,
Taste of Dilli 6,2,No,Yes,,,,
The Guls,2,No,No,,,,
The League Restaurant,2,Yes,No,,,,
The Plaza Solitaire,2,Yes,No,,,,
Uttarakhand Fast Food,1,No,No,,,,
Wahid Food Corner,1,No,No,,,,
Zync - Rosewood Hotel,3,Yes,No,,,,
Konetto Pizza,1,No,No,,,,
South Store,1,No,No,,,,
Grill & Cafe,2,No,No,,,,
Gurgaon Mughlai Chicken,1,No,No,,,,
Mughal Chicken Corner,2,No,No,,,,
Oven Aroma,1,No,Yes,,,,
Special No.1 Biryani Corner,2,No,No,,,,
Sun Sweets Restaurant,1,No,No,,,,
China Hut,1,No,No,,,,
G Dot,1,No,Yes,,,,
Cake2you,1,No,No,,,,
Delight Express,1,No,No,,,,
Empress,3,Yes,No,,,,
Hotel DDR,2,No,No,,,,
Khan Kabab Corner,2,No,No,,,,
Kwality Cakes and Bakes,1,No,No,,,,
Nite Bites,2,No,Yes,,,,
Oriental Kitchen Express,1,No,Yes,,,,
Royal Mart,1,No,No,,,,
Sikkim Fast Food,1,No,No,,,,
ZASTY,2,No,No,,,,
Maachh Bhaat,2,No,Yes,,,,
ANTIDOTE,1,No,No,,,,
Bablu Fast Food,1,No,No,,,,
Bikaner Sweets Snacks & Restaurant,1,No,No,,,,
Bikaner Sweets,1,No,No,,,,
Biryani & Rolls,1,No,No,,,,
Chefy's Kitchen,1,No,No,,,,
Dilli Rasoi,1,No,No,,,,
Dujal Cafe,1,No,No,,,,
Full Dabba,1,No,No,,,,
HSI Food World,2,No,No,,,,
Krishna Restaurant,2,No,No,,,,
Lajawaab House Cafe,2,No,No,,,,
Luncheon Box,1,No,No,,,,
Modern Sweets,1,No,No,,,,
Raju Vaishno Amritsari Dhaba,1,No,No,,,,
Rustic Flavours,2,No,No,,,,
VK Food Court,1,No,No,,,,
GoGourmet,2,No,No,,,,
Snack Shack,1,No,Yes,,,,
West??ross,1,No,Yes,,,,
Fruitpro,1,No,No,,,,
Tpot,2,No,Yes,,,,
Cake Desire,1,No,No,,,,
Divine Bites,1,No,Yes,,,,
Interaxis,1,No,No,,,,
Milan Apna Dhaba,1,No,No,,,,
R S Foods,1,No,No,,,,
Ronny Flavours,1,No,No,,,,
Shahi  Chicken Corner,1,No,No,,,,
Biryani Art,3,Yes,Yes,,,,
Daawat-e! Amritsar,2,No,Yes,,,,
Faasos,2,No,Yes,,,,
Ovenstory Pizza,2,No,Yes,,,,
Game n Grillz,2,Yes,No,,,,
Hamoni Red: Play Cafe,2,No,No,,,,
Firangi Bake,1,No,Yes,,,,
Indochi,1,No,No,,,,
Kettle & Kegs,1,No,Yes,,,,
The Food Garage,2,No,No,,,,
Machan,2,Yes,No,,,,
Mainland China,3,Yes,No,,,,
Sasuraal,3,Yes,Yes,,,,
feel ALIVE,3,Yes,No,,,,
Matchbox,3,Yes,No,,,,
Prankster,3,Yes,No,,,,
21 Gun Salute,4,Yes,Yes,,,,
Backyard Underground,3,Yes,No,,,,
Bikanervala,2,No,Yes,,,,
Chin Chin,3,Yes,Yes,,,,
Eggjactly,2,No,No,,,,
Gola Sizzlers,3,Yes,No,,,,
Hunter Valley,3,Yes,No,,,,
Jungle Jamboree,3,Yes,No,,,,
My Bar Headquarters By Dockyard,3,Yes,No,,,,
Punjabi by Nature,3,Yes,Yes,,,,
Sandys Cocktails & Kitchen,3,Yes,Yes,,,,
Sense Of Spirits,3,Yes,No,,,,
Swagath,3,Yes,No,,,,
The Old School Brew House,4,Yes,No,,,,
Barcelos,3,Yes,No,,,,
Boombox Brewstreet,3,Yes,No,,,,
BRONX Bar Exchange,4,No,No,,,,
Djinggs,3,No,No,,,,
Downtown - Diners & Living Beer Cafe,3,No,No,,,,
Drifters Cafe,1,No,No,,,,
Gung The Palace,4,Yes,Yes,,,,
Magadh and Awadh,3,Yes,Yes,,,,
Mamagoto,3,Yes,Yes,,,,
Molecule Air Bar,3,Yes,No,,,,
Nagai,4,No,No,,,,
PitStop BrewPub,3,Yes,No,,,,
The Classroom,3,Yes,No,,,,
Bottles and Barrels,3,Yes,No,,,,
A One Rasoi,2,No,No,,,,
Angeethi,1,No,No,,,,
Cake Castle,1,No,Yes,,,,
CHA,1,No,No,,,,
Fees - The Cloud Kitchen,2,No,No,,,,
Food Ka Mood,2,No,Yes,,,,
Frozen Factory,1,No,No,,,,
Harichatni.com,2,No,No,,,,
Kk Chaap Express,1,No,No,,,,
Latenight.in,2,No,Yes,,,,
Mitran Da Junction,2,No,No,,,,
Mogambo Kitchen,1,No,No,,,,
Mother Ringlet,1,No,No,,,,
Sna-X Point,1,No,No,,,,
Wow! Momo,1,No,No,,,,
Yashna,2,No,Yes,,,,
Bakers Oven,2,No,Yes,,,,
Dilli 6 On Wheels,1,No,Yes,,,,
La Pino'z Pizza,2,Yes,Yes,,,,
LeanBodyMeals,2,No,Yes,,,,
Tasty Tweets,1,No,Yes,,,,
The Kathi Rolls,1,No,Yes,,,,
Bite N Sip,1,No,No,,,,
Burger Joint,1,No,No,,,,
Dilli Light,2,No,No,,,,
Love Desserts,2,No,No,,,,
Bikkgane Biryani,2,Yes,Yes,,,,
Cafeast,2,No,No,,,,
Yomo-Your Only Momo Outlet,1,No,No,,,,
Afghan Indian,2,No,No,,,,
Al Fanoos,2,No,No,,,,
Alwar Sweets & Namkeen,1,No,No,,,,
Bisht Food Court,1,No,No,,,,
Burj Al Arab,2,No,No,,,,
Chinese Chilli Sizllers,1,No,No,,,,
Desi Bites,1,No,No,,,,
Fresh Food,1,No,No,,,,
Kwality Restaurant,1,No,No,,,,
Nehra's Food Point,1,No,No,,,,
Orange Food Cart,1,No,No,,,,
Royal Sweets,2,No,No,,,,
Shree Annapurna,1,No,No,,,,
Underground Restaurant,2,No,No,,,,
Midnight Sutra,2,No,Yes,,,,
Paddy's - The Grub Grill,2,No,Yes,,,,
Sugar Rush By Saiba,1,No,No,,,,
Bamboo House,2,No,Yes,,,,
Burger Unlimited Kitchen,2,No,Yes,,,,
Cafeteria Point,2,No,Yes,,,,
Choudhary Gohana Famous Jalebi,1,No,No,,,,
Curry N' Tandoor,2,No,No,,,,
Dawat-e-Ishq,2,No,Yes,,,,
Delish Bake N Choc,1,No,No,,,,
Flavours,2,No,No,,,,
Om Sweets,1,No,Yes,,,,
Raj Restaurant,2,No,No,,,,
Tasha's Artisan Foods,1,No,No,,,,
Urban Kitchen,2,No,Yes,,,,
Apna Dabba,1,No,No,,,,
BiBo's Kitchen,1,No,No,,,,
Cherry Crossing Foods,1,No,No,,,,
Chinese Fast Food,1,No,No,,,,
Chinese Food,1,No,No,,,,
Chop Shop,1,No,No,,,,
Dhara,1,No,No,,,,
Foody Goody,1,No,No,,,,
Kehar Sweets And Snacks,1,No,No,,,,
Muskan Chicken Biryani,1,No,No,,,,
Shakes Cakes 'n' More,1,No,No,,,,
Shri Sai Kirpa Food,1,No,No,,,,
Sufiya Hotel,1,No,No,,,,
The Breakfast Bite,1,No,No,,,,
Veg Hut,1,No,No,,,,
Raj Restaurant,2,No,Yes,,,,
Burger Hut,1,No,No,,,,
Dancing Turkeys,2,No,No,,,,
The Pack King,1,No,No,,,,
Zizo,3,Yes,Yes,,,,
Grill King Kabab & Curries,2,No,Yes,,,,
Aarush - A Mediterranean Kitchen,2,No,No,,,,
Blossoms 4 U,1,No,Yes,,,,
Breakfast@60,1,No,No,,,,
Bunny Burgers,1,No,Yes,,,,
Curry Haus,2,No,Yes,,,,
Droolfi,1,No,No,,,,
Earthen Spices,2,No,No,,,,
FatPlates,2,No,No,,,,
Food4U!,2,No,Yes,,,,
Ghar Ki Handi,1,No,No,,,,
Great Desserts Company,1,No,No,,,,
Mughlai Treat,2,No,No,,,,
Munch,2,No,Yes,,,,
New Spice World,2,No,No,,,,
Pure Bliss,2,No,No,,,,
Puskar Raj Momos & Chinese Corner,1,No,No,,,,
Sai-Yo!,2,No,Yes,,,,
Shanghai Cafe,2,No,Yes,,,,
The Blaze,2,Yes,No,,,,
Ullu Delivers,2,No,Yes,,,,
Dimsum Democracy,2,No,No,,,,
Midnight Hunger,1,No,No,,,,
The Punjab Kitchen,1,No,Yes,,,,
Too Maach,2,No,Yes,,,,
Bala Ji Sweets Corner,1,No,No,,,,
Biryani Express,1,No,No,,,,
Cafe #22hours,1,No,No,,,,
Cake Innovation,1,No,No,,,,
Chawla's?_,2,No,No,,,,
China Gathering,2,No,No,,,,
Chinese Hot Express,1,No,No,,,,
Cookingo,1,No,No,,,,
Firefly,1,No,No,,,,
Foodie Xpress,1,No,No,,,,
Go! Dimsum,1,No,No,,,,
Kanha North & South Indian Veg.,1,No,No,,,,
Kings Kulfi,1,No,No,,,,
Lassi Cafe,1,No,No,,,,
Marwadi Khana,2,No,No,,,,
Nukkadwala,1,No,No,,,,
Ravi Fast Food,1,No,No,,,,
Shivalik Tiffin Corner,1,No,No,,,,
Street Food By Punjab Grills,1,No,No,,,,
Sweet Ginger Bakery,2,No,No,,,,
The Rolling Stove,1,No,No,,,,
Vijeta's Happy Kitchen,1,No,No,,,,
Chy - Na Express,1,No,Yes,,,,
Kwality,2,No,No,,,,
Brother's Snacks and Shakes,1,No,Yes,,,,
Ginger Garlic,2,No,Yes,,,,
Arabicaa 9,2,No,No,,,,
Dilli Light,2,No,Yes,,,,
MyLoveBiryani.Com,1,No,No,,,,
Tandoori Adda,1,No,Yes,,,,
Tiffins 4 U,1,No,No,,,,
Cafe Cup of Life,2,No,Yes,,,,
DCK- Dana Choga's Kitchen,2,No,Yes,,,,
Kishu Di Hatti Sweets,1,No,No,,,,
KC Bakers,1,No,Yes,,,,
Sham Sweets,1,No,No,,,,
Bake Cuddle,1,No,No,,,,
Gopala,1,No,No,,,,
Halki Aanch,2,No,Yes,,,,
New Sukh Sagar,1,No,No,,,,
Sweets Corner,1,No,No,,,,
Minus5degree,1,No,No,,,,
Qureshi's Kabab Corner,2,No,No,,,,
Delicious Food Corner,1,No,No,,,,
Firangi Bake,1,No,No,,,,
The Daily,1,No,No,,,,
Burger Singh,2,No,Yes,,,,
Cyber Adda 24,2,No,No,,,,
Desi Thaat,1,No,Yes,,,,
Gulshan Dhaba,1,No,No,,,,
Karari Kurry,2,No,Yes,,,,
Needs Gourmet,2,Yes,No,,,,
Rao's Meeting Point,1,No,No,,,,
Sadabahar Hotel,1,No,No,,,,
Sagar Ratna,2,No,Yes,,,,
Shri Ram Restaurant,1,No,No,,,,
Sugarcraft Patisserie,2,No,No,,,,
Tea Halt,2,No,Yes,,,,
The Golden Dragon,3,Yes,Yes,,,,
The Spice Room,3,Yes,Yes,,,,
The Tongue Twister,2,No,No,,,,
56 Fresca,2,Yes,Yes,,,,
BreakfastBay,1,No,Yes,,,,
Cafe Maple Street,2,No,Yes,,,,
Fat Lulu's,3,No,Yes,,,,
Fat Monk,1,No,Yes,,,,
Flying Tuk Tuk,3,Yes,No,,,,
Little Skillet,2,No,No,,,,
PKay,3,Yes,No,,,,
Shama Chicken Corner,2,No,No,,,,
Tandoori Nation,2,No,Yes,,,,
Truffle Tangles,1,No,No,,,,
KB's Icecream & Kulfis,1,No,Yes,,,,
The Brewhouse,4,Yes,No,,,,
Boozer's,2,Yes,No,,,,
Cheffy's,2,No,No,,,,
Shyam Sweets,1,No,No,,,,
Uma Foodies' Hut,2,No,No,,,,
AK Your Food,2,No,No,,,,
Freshnfit.in,1,No,No,,,,
Shri Ram Bhojnalaya,1,No,No,,,,
Special O-cake-sions,1,No,No,,,,
Tasteful Biryani,2,No,No,,,,
Indian Grill Room,3,Yes,Yes,,,,
Oriental Fusion,2,Yes,Yes,,,,
Purani Dilli's Al Karam Kebab House,2,No,Yes,,,,
Rollmaal,2,No,Yes,,,,
Speedy Chow,2,Yes,Yes,,,,
Arabian Nites,1,No,Yes,,,,
Giani's,1,No,Yes,,,,
Juste Miam,1,No,Yes,,,,
Patiala Shahi,2,No,Yes,,,,
The Kathis,1,No,Yes,,,,
Wai Yu Mun Ching,2,Yes,Yes,,,,
Bernardo's,4,Yes,Yes,,,,
Nosh,2,No,Yes,,,,
Tandoor Express,2,No,Yes,,,,
Tandoori KnockOuts,2,No,Yes,,,,
Udaipuri,2,No,Yes,,,,
Begonia,2,No,No,,,,
Cakes & Muffins,1,No,No,,,,
Hungry Gopal,1,No,No,,,,
Kuzo,1,No,No,,,,
Lovecrumbs Bakery,3,No,No,,,,
Organic Express,2,No,Yes,,,,
Pizza Hut,3,No,Yes,,,,
Roti Te Boti,2,No,Yes,,,,
Caf?? Burger BC,1,No,Yes,,,,
Dilli Darbar,2,No,Yes,,,,
Fu.D,1,No,Yes,,,,
Jarfull,1,No,Yes,,,,
Mochamania,1,No,No,,,,
Mukhtalif Biryanis,2,No,Yes,,,,
Mummy's Kitchen,1,No,No,,,,
The Godinho's,2,No,No,,,,
Kujay's Spoon,2,No,No,,,,
Lily Food's,2,No,No,,,,
Mutton Mewar,2,No,No,,,,
Tasty But Healthy,1,No,No,,,,
Teddy Choco Studio,1,No,No,,,,
Chin Chow,2,No,No,,,,
Cafe Sante,3,No,No,,,,
Mughal Dine-Esty,3,Yes,Yes,,,,
Nuterro,2,No,Yes,,,,
Sandburg Shakes,2,No,Yes,,,,
The Millionaire Express,1,No,Yes,,,,
Elma's Delivers,2,No,No,,,,
Foodrath,1,No,No,,,,
Hyderabad House,2,No,Yes,,,,
Kake Da Hotel,2,No,Yes,,,,
Mitraao,2,No,Yes,,,,
PomoDoro Bistro,2,No,Yes,,,,
Shri Shyam Ji Ke Mashhoor Chhole Bhature,1,No,No,,,,
Spice Aangan Express,1,No,No,,,,
Swaad Ka Khazana,2,No,No,,,,
The Toddy Shop,3,No,Yes,,,,
Truffles,1,No,Yes,,,,
Cafe Bonkerz,2,No,Yes,,,,
Wrapchick,2,No,Yes,,,,
WoW - Vada Pav & More,1,No,Yes,,,,
Me Kong Bowl,2,No,Yes,,,,
Palmyra - The Bristol Hotel,4,Yes,No,,,,
Shanghai Bar & Lounge - The Bristol Hotel,4,Yes,No,,,,
Zaffran - The Bristol Hotel,4,Yes,No,,,,
Zaffran - The Claremont,4,Yes,No,,,,
Clove - The Galgotias,3,Yes,No,,,,
Green Leaf,2,Yes,No,,,,
Tokyo,3,Yes,No,,,,
Cigar Lounge - The Oberoi,4,No,No,,,,
Melange - The Pllazio Hotel,4,Yes,No,,,,
EEST - The Westin Gurgaon,4,Yes,No,,,,
Prego - The Westin Gurgaon,4,Yes,No,,,,
Seasonal Tastes - The Westin Gurgaon,4,Yes,No,,,,
Xiao Chi - The Westin Sohna Resort & Spa,4,Yes,No,,,,
The Living Room - The Westin Sohna Resort & Spa,4,No,No,,,,
The Bar - Trident Gurgaon,4,No,No,,,,
Konomi - Trident Gurgaon,4,No,No,,,,
Town Hall,4,Yes,No,,,,
Whisky Samba,4,Yes,No,,,,
Chokola,2,No,No,,,,
Citrus Cafe - Lemon Tree Hotel,4,No,No,,,,
Green Hut,2,No,No,,,,
My Plate,1,No,No,,,,
PiccoLicko,1,No,Yes,,,,
Pind Balluchi,3,No,Yes,,,,
Raj Xpresso,2,No,No,,,,
Riders Hub,2,Yes,No,,,,
Shivani Catering Services,2,No,No,,,,
The Gr8 Taste of India,1,No,Yes,,,,
World Art Cafe,2,No,No,,,,
XLNC Bakers,1,No,No,,,,
Adventure Food,1,No,No,,,,
Baba Da Dhaba,2,No,No,,,,
Bandhani Fast Food,1,No,No,,,,
Bhai Ji Dhaba,2,No,No,,,,
Cake 24x7,1,No,Yes,,,,
Chauhan Hotel,1,No,No,,,,
Dheeraj Vaishno Dhaba,1,No,No,,,,
Food Ka Adda,1,No,No,,,,
iKitchen,2,No,Yes,,,,
Knights Kitchen,1,No,No,,,,
Ku-Kukdu-Ku,1,No,No,,,,
Noore-e-Seva,1,No,No,,,,
Premier Bite,1,No,No,,,,
Renu Sweets & Restaurant,1,No,No,,,,
Street Foods by Punjab Grill,2,No,No,,,,
Tpot,1,No,Yes,,,,
Uttrakhand Bohra Bhojnalaya & Fast Food,1,No,No,,,,
Uttrakhand Dhaba,1,No,No,,,,
Tea Halt,1,No,Yes,,,,
Indian Bistro Company,2,No,No,,,,
Department of Food and Social Affair,1,No,No,,,,
Anaaj,2,No,No,,,,
Au Bon Pain,2,No,No,,,,
Cafe Friends,2,No,No,,,,
Chinese Bistro,2,No,No,,,,
Dunkin' Donuts,2,No,No,,,,
Madras Coffee House,1,No,No,,,,
Salad Chef,1,No,Yes,,,,
The Kachori Co.,1,No,No,,,,
Urban Dhaba,2,No,Yes,,,,
A Piece of Paris,2,No,Yes,,,,
Doughlicious,2,No,No,,,,
Live Wok,2,Yes,No,,,,
Orange Chopsticks,3,Yes,Yes,,,,
Pizzoccheri,2,Yes,No,,,,
Creamy Innovation,2,No,No,,,,
Dosa Republic,1,No,No,,,,
Latitude - Vivanta By Taj,4,Yes,No,,,,
Thai Pavilion - Vivanta By Taj,4,Yes,No,,,,
3H Kitchen,2,No,No,,,,
Manish Sweets & Bakers,1,No,No,,,,
Oasis Kitchen,1,No,No,,,,
Ramchandra Chinese Food,1,No,Yes,,,,
Sona Chinese,1,No,No,,,,
The Pastry Hut,1,No,Yes,,,,
Aggarwal Sweets & Restaurant,1,No,No,,,,
Bhoomika,1,No,No,,,,
FoodZilla,2,No,Yes,,,,
Indo Chinese,1,No,No,,,,
Kathi Junction,1,No,Yes,,,,
Romi da Dhaba,2,No,Yes,,,,
Shamji Snacks,1,No,No,,,,
The Lunch Break,1,No,No,,,,
Veg O Non,2,No,No,,,,
Alwar Sweets,1,No,No,,,,
Burgzz Bee,1,No,Yes,,,,
Chinese Corner,2,No,Yes,,,,
Iroha,1,No,No,,,,
Chaudhary Burfi Wala,1,No,No,,,,
Curry 'n' Phulka,1,No,Yes,,,,
Wah Ji Wah,1,No,Yes,,,,
Woods Spice,3,Yes,No,,,,
Terra Mayaa Restaurant and Lounge,3,No,No,,,,
The Basement Caf??,2,No,No,,,,
Strawberry Fields,2,No,No,,,,
Brooklyn Blues,3,No,No,,,,
Confucius,3,No,No,,,,
The Woking Mama,3,No,No,,,,
Underdoggs Sports Bar & Grill,4,No,No,,,,
The Zouq : Resto-Cafe,2,No,No,,,,
BrewBakes,2,No,No,,,,
Yo! China,3,No,No,,,,
4 Seasons,1,No,No,,,,
11th Avenue Cafe Bistro,2,No,No,,,,
Caf?? Riverrun,2,No,No,,,,
Fat Belly,2,No,No,,,,
The Corner Cafe,3,No,No,,,,
Chung Fa,2,No,No,,,,
Shanghai Salsa,3,No,No,,,,
Three Guys,2,No,No,,,,
Ziya,2,No,No,,,,
Exotica,3,Yes,Yes,,,,
The Fisherman's Wharf,3,Yes,No,,,,
Pine & Dine,2,Yes,Yes,,,,
Jonathan's Kitchen - Holiday Inn Express & Suites,3,Yes,No,,,,
Con?_u,2,No,No,,,,
Dock Forty Five,3,No,No,,,,
Mocha Bar,3,Yes,No,,,,
Olive Bistro,4,Yes,Yes,,,,
Prost Brew Pub,3,Yes,No,,,,
United Kitchens of India,3,Yes,No,,,,
Heart Cup Coffee,3,No,Yes,,,,
Churrolto,2,No,No,,,,
The Grand Trunk Road,3,No,Yes,,,,
Sahib??s Barbeque by Ohri??s,3,Yes,No,,,,
KYRO,3,No,No,,,,
JAL - A Jungle Restaurant,3,No,No,,,,
Oye24,1,No,No,,,,
Hobnob Gourmet Caf??bar,4,No,No,,,,
Mangosteen Cafe,2,No,No,,,,
Mama Loca,3,No,No,,,,
Vidorra,3,No,No,,,,
Cafe Palette,3,No,No,,,,
Nafees Restaurant,3,No,No,,,,
The Creative Kitchen - Radisson Blu Hotel,4,No,No,,,,
Square - Sayaji Hotel,4,No,No,,,,
Freito,2,No,No,,,,
Cafe Terazza,2,No,No,,,,
Cafe Yolo,2,No,No,,,,
Just My Bakes,2,No,No,,,,
10 Downing Street,4,No,No,,,,
Cakesmith's Alley,2,No,No,,,,
Waffle House,2,No,No,,,,
Tapri Central,2,No,Yes,,,,
Blackout,3,No,No,,,,
Mamu's Infusion,3,No,Yes,,,,
Nibs Cafe,2,No,Yes,,,,
On The House,3,No,Yes,,,,
WTF,3,No,No,,,,
Chokhi Dhani,3,No,No,,,,
Meraaki Kitchen,3,No,No,,,,
Taruveda Bistro,3,No,Yes,,,,
The Forresta Kitchen & Bar,3,No,No,,,,
Monarch Restaurant - Holiday Inn Jaipur City Centre,4,No,No,,,,
Chao Chinese Bistro - Holiday Inn Jaipur City Centre,4,No,No,,,,
Zolocrust - Hotel Clarks Amer,4,No,Yes,,,,
Mutual's,2,No,Yes,,,,
O2- The Plant Cafe,2,No,No,,,,
Cafe LazyMojo,2,No,Yes,,,,
Replay,3,No,No,,,,
Sky Beach,3,No,No,,,,
Decked Up By Garden Cafe,3,No,Yes,,,,
Calzone- Dine & Rooftop Lounge,2,No,Yes,,,,
Hucka,2,No,No,,,,
The Zaffran,3,No,No,,,,
Gyan Vaishnav,2,No,No,,,,
Liquid,3,No,No,,,,
Royal Dine - Hotel Royal Cliff,4,No,No,,,,
Urban Crave Express,2,No,No,,,,
Atmosphere Grill Cafe Sheesha,1,No,No,,,,
Mr Brown,2,No,No,,,,
Dunkin Donuts,2,No,No,,,,
Little Chef,3,No,No,,,,
UrbanCrave,1,No,No,,,,
Chin Mi,4,No,No,,,,
Tadka,3,No,No,,,,
Dhuaan,4,No,No,,,,
Upper Crust,2,No,No,,,,
Anaicha's Food Joint,3,No,No,,,,
Aromas,2,No,No,,,,
Waterside - The Landmark Hotel,4,No,No,,,,
Verandah,4,No,No,,,,
Nawras Seafood Restaurant,3,No,No,,,,
Ifthar,1,No,No,,,,
Dhe Puttu,2,No,Yes,,,,
Kashi Art Cafe,2,No,No,,,,
Grand Hotel Restaurant,3,No,No,,,,
Chiyang,2,No,No,,,,
Slice of Spice,1,No,Yes,,,,
Mustake Multicuisine Restaurant,3,No,Yes,,,,
Palaaram,2,No,No,,,,
Tonico Cafe,1,No,No,,,,
Cafe 17,2,No,Yes,,,,
ChaiCofi,2,No,No,,,,
Bloomsbury's Boutique Cafe and Artisan Bakery,2,No,Yes,,,,
Paragon,2,No,No,,,,
Aangan - Downtown Multicuisine Restaurant,2,No,No,,,,
Ali Baba & 41 Dishes,1,No,No,,,,
Cocoa Tree,3,No,No,,,,
French Toast,2,No,No,,,,
Thakkaaram,2,No,No,,,,
Asia Kitchen by Mainland China,3,No,Yes,,,,
Hoppipola,3,No,Yes,,,,
Spice Kraft,3,No,No,,,,
Nawwarah,3,No,No,,,,
6 Ballygunge Place,3,Yes,Yes,,,,
Mumbai Local,3,Yes,No,,,,
Gabbar's Bar & Kitchen,3,Yes,No,,,,
TGI Friday's,3,Yes,Yes,,,,
Santa's Fantasea,2,No,No,,,,
India Restaurant,2,Yes,Yes,,,,
Flame & Grill,3,Yes,No,,,,
Mocambo,3,No,Yes,,,,
BarBQ,2,No,Yes,,,,
Peter Cat,3,No,Yes,,,,
The Irish House,3,No,No,,,,
Ocean Grill,3,Yes,No,,,,
Sigree Global Grill,3,Yes,No,,,,
What's Up,3,Yes,No,,,,
Grandson of Tunday Kababi,1,No,No,,,,
Chemistry Caf??,2,No,No,,,,
Homeys Cafe,2,No,No,,,,
Percussion,3,No,No,,,,
The Urban Terrace,3,No,No,,,,
Free Spirit,2,No,No,,,,
Spice Caves,3,No,No,,,,
The Chocolate Heaven,2,No,No,,,,
The Pebbles Bistro,3,No,No,,,,
Underdoggs Sports Bar & Grill,3,No,No,,,,
Vintage Machine,3,No,No,,,,
Bar Bar,3,No,No,,,,
Dastarkhwan,2,No,No,,,,
The Cherry Tree Cafe,2,No,No,,,,
Royal Sky,3,No,No,,,,
L 14 - Renaissance Lucknow Hotel,4,No,No,,,,
Colours by Royal Cafe - Royal Inn,3,No,No,,,,
Cappuccino Blast,2,No,No,,,,
Basant Restaurant,2,No,No,,,,
Hawai Adda,3,No,No,,,,
Indian Summer,3,No,No,,,,
Basant,1,No,No,,,,
Bistro 226,3,No,No,,,,
Mocha,2,No,No,,,,
Bistro Flamme Bois,3,No,No,,,,
Kitchen At 95 - Hyatt Regency,4,No,No,,,,
Nando's,3,No,No,,,,
Belfrance Luxury Chocolates,3,No,No,,,,
Hot Breads,2,No,No,,,,
Spice Cube,3,No,No,,,,
Nik Bakers,2,No,No,,,,
Aman Chicken,2,No,No,,,,
District 6,3,No,No,,,,
The BrewMaster - The Mix Fine Dine,3,No,No,,,,
#45,2,No,No,,,,
Crave Desserts & Bakes,1,No,No,,,,
Diesel Cafe,3,No,No,,,,
Froth On Top,2,No,No,,,,
Hao Ming,2,No,No,,,,
Kobe Sizzlers,3,No,No,,,,
Liquid Lounge,3,No,No,,,,
Maharaja Restaurant,2,No,No,,,,
Giri Manja's,2,No,No,,,,
Kabab Studio,4,No,No,,,,
Brio Cafe and Grill,2,No,No,,,,
Gajalee Sea Food,3,No,No,,,,
Smoke N Oven,2,No,No,,,,
Village Restaurant,3,No,No,,,,
Machali,3,No,No,,,,
Punjab Da Pind,3,No,No,,,,
Sizzler's Ranch,2,No,No,,,,
Spindrift,2,No,No,,,,
The Shooters Cafe,2,No,Yes,,,,
Joey's Pizza,2,No,No,,,,
Cafe Hydro,3,No,No,,,,
The American Joint,2,Yes,No,,,,
The Fusion Kitchen,3,Yes,Yes,,,,
145 Kala Ghoda,3,No,No,,,,
Tea Villa Cafe,3,Yes,Yes,,,,
Grandmama's Cafe,3,No,No,,,,
Mumbai Vibe,3,Yes,No,,,,
The Rolling Pin,2,No,Yes,,,,
SpiceKlub,3,No,Yes,,,,
Tea Villa Cafe,3,Yes,No,,,,
Joey's Pizza,2,No,Yes,,,,
Stacks And Racks,2,No,No,,,,
The English Department Bar & Diner,3,Yes,No,,,,
Mirchi And Mime,3,No,No,,,,
38 Degree East,3,Yes,No,,,,
R' ADDA,3,No,No,,,,
Hotel RRR Mysore,1,No,No,,,,
